gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000143,4,1764426894607652400,0.060416,0.061184,1.00864,8.64768,25.826816,47.321856,244.921344,267.72352
0000000243,5,1764426894954649000,0.0704,0.070912,0.656128,4.88192,20.460544,44.464128,234.425088,256.738816
0000000043,3,1764426894968859600,0.028928,0.029184,0.710656,5.752832,18.807808,42.134016,230.289408,254.268672
0000000144,4,1764426895008942600,0.603136,0.609024,2.987008,50.812672,64.806144,85.866752,276.111616,298.641408
0000000244,5,1764426895355154400,0.028672,0.029184,2.107904,39.99872,58.119936,81.86624,268.86144,289.933312
0000000044,3,1764426895369023500,0.04352,0.043776,0.297728,38.209792,51.639808,72.96512,263.24864,284.579328
0000000145,4,1764426895409364200,0.023808,0.024064,0.290304,81.426432,96.39424,117.413376,308.136704,329.734144
0000000245,5,1764426895755312400,0.106496,0.112128,0.571136,75.906048,98.545664,119.079424,310.372864,331.506432
0000000045,3,1764426895769266400,0.05504,0.055808,0.646656,72.63616,91.589632,112.6976,302.475776,324.339456
0000000146,4,1764426895809736400,0.061696,0.061952,1.215232,113.61792,128.950272,149.9072,341.673472,362.461952
0000000246,5,1764426896155339300,0.02176,0.02176,0.357376,115.956224,133.162752,153.897728,346.731264,368.347904
0000000046,3,1764426896170633200,0.03456,0.034816,0.4416,109.792256,122.90688,143.606272,335.94368,357.51808
0000000147,4,1764426896210093300,0.045056,0.045824,0.692224,148.64512,163.23712,184.457984,374.205696,395.432704
0000000247,5,1764426896559727000,0.38144,0.57472,0.835584,155.163136,172.963584,195.533312,383.854336,405.19168
0000000047,3,1764426896570643200,0.025344,0.0256,0.313344,148.4416,165.009408,185.494272,377.189888,398.953984
0000000148,4,1764426896614075400,0.02688,0.027392,0.869888,176.12544,189.565184,211.40608,402.116864,423.772928
0000000248,5,1764426896959925500,0.04224,0.043008,0.373248,199.425792,213.958912,235.654656,426.706176,448.551168
0000000048,3,1764426896971075800,0.02432,0.024832,0.327168,188.62976,206.568448,227.205888,421.534976,443.181056
0000000149,4,1764426897014370600,0.020992,0.021248,0.440064,4.735744,220.219648,241.396224,431.047168,452.89344
0000000249,5,1764426897361130800,0.04096,0.041472,0.63744,21.53984,38.734848,59.60448,251.674112,274.95168
0000000049,3,1764426897371406000,0.035584,0.036352,0.327168,15.258624,233.200128,254.279936,450.977024,472.539136
0000000150,4,1764426897414420700,0.022784,0.023296,0.230144,26.742016,240.599808,261.527808,455.86176,477.500672
0000000250,5,1764426897761767200,0.12416,0.125184,0.731904,57.926912,73.62688,97.1584,285.452288,306.940928
0000000050,3,1764426897772490800,0.053504,0.054272,0.639488,44.839424,262.978816,283.550208,477.99552,499.28064
0000000151,4,1764426897814577000,0.026112,0.026368,0.376064,50.594048,268.994816,290.290176,482.038016,503.417344
0000000251,5,1764426898162674200,0.04224,0.042752,0.421632,92.438784,105.157888,125.948928,317.47456,339.263232
0000000051,3,1764426898173069600,0.023296,0.023552,0.27648,72.774144,292.019968,312.629504,503.557376,524.730368
0000000152,4,1764426898215504100,0.061952,0.062976,0.665088,76.875264,291.02464,311.642368,504.718336,526.182912
0000000252,5,1764426898562491000,0.021248,0.021248,0.311808,124.365824,136.996352,157.4208,350.10944,371.6352
0000000052,3,1764426898574518300,0.048128,0.048384,0.377856,98.106368,111.451136,132.101632,323.005696,344.072448
0000000153,4,1764426898615873000,0.020224,0.02048,0.255488,99.608064,314.693888,335.446784,530.782208,551.908096
0000000253,5,1764426898962751700,0.020736,0.020992,0.350976,155.258112,168.208384,188.839424,380.086528,401.683712
0000000053,3,1764426898974095000,0.043776,0.044288,1.028608,129.089536,143.990016,164.939264,354.740736,375.821568
0000000154,4,1764426899016242000,0.09216,0.092928,0.50688,126.706432,139.332608,160.557824,351.166976,372.416
0000000254,5,1764426899363176400,0.023296,0.023552,0.33792,188.087808,200.719104,221.611264,414.317568,436.141824
0000000054,3,1764426899374537200,0.022784,0.02304,0.252928,160.625408,175.410432,196.060416,386.608128,409.476608
0000000155,4,1764426899416355800,0.028416,0.029184,0.424704,158.366208,170.92096,191.676928,383.339008,404.62848
0000000255,5,1764426899764300000,0.026368,0.026624,0.295168,8.855552,229.81376,250.487296,442.9568,464.17152
0000000055,3,1764426899774652400,0.032512,0.033024,0.336896,193.910528,212.2176,232.807424,429.815552,450.785792
0000000156,4,1764426899816433000,0.028928,0.02944,0.270848,190.795264,208.217856,229.061632,422.845952,445.591552
0000000256,5,1764426900164448300,0.02432,0.024576,0.436992,36.817408,50.124288,70.749184,259.520768,281.54112
0000000056,3,1764426900174874600,0.034816,0.035328,0.324864,23.116544,240.24192,261.09184,455.138304,476.643072
0000000157,4,1764426900216631000,0.019712,0.019968,0.24576,18.626816,235.775744,256.404224,448.496384,471.04256
0000000257,5,1764426900564597200,0.157696,0.15872,1.040896,69.238784,82.915072,103.401728,295.143168,316.567808
0000000057,3,1764426900575980500,0.024064,0.02432,0.594176,48.57088,263.594752,284.296448,478.00064,498.951936
0000000158,4,1764426900616800800,0.069376,0.072192,0.4672,43.988992,58.573824,79.734272,272.14976,295.18336
0000000258,5,1764426900965401300,0.126976,0.130304,0.722944,101.198592,113.915904,134.5536,329.288192,351.88352
0000000058,3,1764426900976634000,0.029952,0.030464,0.64256,72.077056,287.948544,308.649216,501.553664,523.68384
0000000159,4,1764426901017305600,0.03328,0.033792,0.3072,83.196928,96.979712,117.975808,310.881792,331.97312
0000000259,5,1764426901365485600,0.02816,0.028416,0.30976,137.839616,150.881792,171.633152,362.549504,384.286208
0000000059,3,1764426901377339400,0.09984,0.100864,0.427776,96.289792,314.497024,335.49312,527.949312,549.973504
0000000160,4,1764426901417601500,0.026368,0.02688,0.939776,117.15712,130.6624,152.048384,341.470208,362.384128
0000000260,5,1764426901765855700,0.027648,0.032256,0.30464,169.08032,181.45664,202.830336,395.11936,416.353792
0000000060,3,1764426901778166000,0.168448,0.169728,0.821504,122.448384,337.971456,359.32544,551.89632,573.34912
0000000161,4,1764426901817812200,0.024064,0.02432,0.769024,149.482752,161.980672,182.415872,374.098688,395.906816
0000000261,5,1764426902167080000,0.020224,0.02048,0.281344,200.369664,212.836352,234.719232,426.057216,448.1792
0000000061,3,1764426902178631000,0.10368,0.104704,0.898048,146.728704,360.696064,381.805312,576.337152,597.451008
0000000162,4,1764426902218102000,0.053504,0.054016,0.873216,186.907904,198.93504,220.3776,409.744384,432.410368
