gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000043,3,1764409474162386400,0.983552,0.976896,1.520384,30.412288,114.929152,135.774976
0000000044,3,1764409474462858000,0.050944,0.050688,0.581632,170.463488,226.112768,247.076352
0000000045,3,1764409474763107300,0.026624,0.026624,0.331776,259.005952,313.978112,334.665472
0000000046,3,1764409475063358500,0.079616,0.070912,0.452864,36.032768,427.599104,448.389888
0000000047,3,1764409475363658800,0.025856,0.0256,0.33536,83.984896,381.21216,401.668096
0000000048,3,1764409475663779300,0.0448,0.044544,0.395776,214.557696,493.731584,515.504896
0000000049,3,1764409475963820000,0.026624,0.026368,1.341952,151.37024,445.7728,466.416896
0000000050,3,1764409476264283400,0.027392,0.027136,0.61056,285.919488,561.81888,583.374592
0000000051,3,1764409476564319500,0.024576,0.02432,0.388864,223.449088,512.907264,534.270464
0000000052,3,1764409476864372500,0.026624,0.026112,0.27264,343.26528,524.642048,546.62656
0000000053,3,1764409477164541000,0.029952,0.029696,0.316928,167.6224,326.047488,346.697472
0000000054,3,1764409477465116400,0.107264,0.106496,0.397568,153.62304,446.8672,467.77856
0000000055,3,1764409477765304000,0.056064,0.053504,0.365056,87.621376,410.381568,432.224768
0000000056,3,1764409478065904600,0.2304,0.228608,1.341952,280.877056,566.478848,589.010176
0000000057,3,1764409478366719000,0.094208,0.093184,2.017536,213.291776,521.661184,542.492928
0000000058,3,1764409478666767000,0.041984,0.041472,0.61312,345.055488,524.08704,544.971008
0000000059,3,1764409478967229200,0.124928,0.124672,0.380672,165.380096,270.340864,291.251968
0000000060,3,1764409479267738000,0.11392,0.112128,0.487168,294.930432,364.484096,385.143552
0000000061,3,1764409479567847200,0.034048,0.033792,0.452608,24.70912,340.20096,360.875264
0000000062,3,1764409479867974100,0.03328,0.033024,0.384512,176.286976,449.644288,470.597632
0000000063,3,1764409480168463600,0.02304,0.022784,0.26496,108.36864,399.890944,420.429568
0000000064,3,1764409480469405400,0.03584,0.035584,0.256,236.662272,512.50816,534.425088
0000000065,3,1764409480769873000,0.024832,0.024832,0.30208,169.0304,471.219968,492.225792
0000000066,3,1764409481070829600,0.024064,0.024064,0.329984,308.406016,536.899328,557.725184
0000000067,3,1764409481371023600,0.033024,0.032768,0.317952,167.34464,280.410112,300.920576
0000000068,3,1764409481671470000,0.02944,0.029184,0.360704,211.990528,416.057344,437.427456
0000000069,3,1764409481971513600,0.03968,0.039424,0.329472,65.075712,372.751616,394.148864
0000000070,3,1764409482271713300,0.031744,0.031488,0.39168,205.600256,519.495424,540.736256
0000000071,3,1764409482572024600,0.083968,0.083712,0.620544,147.092224,477.206784,498.414848
0000000072,3,1764409482872775200,0.041728,0.041472,0.630784,316.471296,573.90464,595.906816
0000000073,3,1764409483172929000,0.06272,0.062464,0.370176,170.38592,339.070208,360.432384
0000000074,3,1764409483473023500,0.045568,0.045312,0.421888,202.22976,475.55328,496.27392
0000000075,3,1764409483773471700,0.019712,0.019456,0.409856,134.072832,426.573312,448.2944
0000000076,3,1764409484073994200,0.164096,0.155648,0.827904,274.532096,559.053056,580.440064
0000000077,3,1764409484374189300,0.039936,0.03968,0.96896,213.883136,535.905792,557.3568
0000000078,3,1764409484674570000,0.043264,0.043008,0.336128,366.200576,560.718336,581.471488
0000000079,3,1764409484974821000,0.039168,0.038656,0.677376,202.169088,299.301376,320.87168
0000000080,3,1764409485274768000,0.022784,0.022784,0.272384,224.25344,411.145984,432.100608
0000000081,3,1764409485575163400,0.026624,0.026368,0.335616,69.15328,377.472768,398.035712
0000000082,3,1764409485876038100,0.028672,0.028416,0.34176,204.554752,478.06336,499.230464
0000000083,3,1764409486176439800,0.026368,0.026112,0.285696,136.721408,430.76352,451.95392
0000000084,3,1764409486477031700,0.130816,0.129024,0.823552,264.841472,545.07904,569.923328
0000000085,3,1764409486777054000,0.02432,0.024064,0.727296,204.585728,496.944896,517.811712
0000000086,3,1764409487077103900,0.132864,0.132352,0.5056,326.043136,516.005632,536.67072
0000000087,3,1764409487377646800,0.032768,0.032512,0.28544,159.012096,256.04096,277.238784
0000000088,3,1764409487677851000,0.025088,0.025088,1.136384,315.898368,433.780224,454.635776
0000000089,3,1764409487978153500,0.043008,0.042752,0.727296,50.864896,202.705152,223.85792
0000000090,3,1764409488278662700,0.044544,0.044288,0.585216,290.286848,403.02464,423.747072
0000000091,3,1764409488579230500,0.043264,0.043008,0.676352,38.820096,373.552384,394.771968
0000000092,3,1764409488879312600,0.026368,0.026112,0.469248,267.55712,544.584448,566.67776
0000000093,3,1764409489179365400,0.02688,0.026624,0.270592,204.429312,507.238912,528.829696
0000000094,3,1764409489479585500,0.033024,0.033024,0.477184,356.557568,571.851008,592.483328
0000000095,3,1764409489780427500,0.02432,0.024064,0.268288,213.233152,334.34624,355.50976
0000000096,3,1764409490080926200,0.035072,0.034816,0.477952,198.218496,513.824256,535.131136
0000000097,3,1764409490381266200,0.049664,0.04864,0.666624,149.763328,466.377472,487.88608
0000000098,3,1764409490681607000,0.023296,0.02304,0.668928,332.646656,555.875072,576.431616
0000000099,3,1764409490981995000,0.059136,0.058112,0.644608,178.934528,298.527744,319.134976
0000000100,3,1764409491282154200,0.053248,0.048384,0.452608,223.097344,399.313152,420.941056
0000000101,3,1764409491583637800,0.022784,0.022528,0.34944,57.553408,347.451648,368.69632
0000000102,3,1764409491883894500,0.047104,0.046336,0.685312,173.502464,448.496128,471.684608
0000000103,3,1764409492184982000,0.211968,0.210432,1.644032,106.523392,404.776192,426.65344
0000000104,3,1764409492487210000,0.05248,0.051968,0.391424,236.421376,510.155008,531.357184
0000000105,3,1764409492786924500,0.062208,0.061952,0.419584,174.371328,465.94816,486.727424
0000000106,3,1764409493087042600,0.065536,0.064512,0.598528,318.900992,502.634496,523.257344
0000000107,3,1764409493387346000,0.024832,0.024576,0.301568,144.038912,241.061376,261.886976
0000000108,3,1764409493687789300,0.027392,0.02688,0.302848,275.890176,329.106432,349.615616
0000000109,3,1764409493989369900,0.02816,0.02816,0.360448,47.754752,418.339328,438.96192
0000000110,3,1764409494290265300,0.037888,0.037376,0.867584,141.974528,422.04032,442.771712
0000000111,3,1764409494590472400,0.023808,0.023552,0.520704,80.864256,379.76448,400.867072
0000000112,3,1764409494891970300,0.059136,0.05888,0.560128,251.076864,524.114432,545.590272
0000000113,3,1764409495191708200,0.047104,0.046336,0.378368,182.585088,480.634368,502.129408
0000000114,3,1764409495492545000,0.104704,0.096256,1.033472,306.66752,491.334656,512.495872
0000000115,3,1764409495793068000,0.027904,0.027648,0.332288,133.049088,230.729984,251.878144
0000000116,3,1764409496094178600,0.0256,0.025344,0.42752,269.428736,319.32928,340.440832
0000000117,3,1764409496394541000,0.02688,0.026624,0.28032,41.15328,416.158464,437.164032
0000000118,3,1764409496695304000,0.018432,0.01792,0.258304,75.394304,368.170496,389.099008
0000000119,3,1764409496995864300,0.022016,0.02176,0.224768,200.733696,481.23008,502.925824
0000000120,3,1764409497296289800,0.037632,0.03712,0.507392,140.098816,431.12064,451.972608
0000000121,3,1764409497597138200,0.041984,0.041472,0.417024,259.731968,533.910016,554.532608
0000000122,3,1764409497897107700,0.023808,0.023552,0.354048,195.47904,488.859648,509.738752
0000000123,3,1764409498197187300,0.027904,0.027648,0.24576,334.690816,518.0352,538.761472
0000000124,3,1764409498497275000,0.033792,0.033536,0.49152,160.942592,259.186432,279.943168
0000000125,3,1764409498797515300,0.024832,0.024576,0.380416,299.986688,372.380416,393.630464
0000000126,3,1764409499097630000,0.024576,0.02432,0.300288,30.778112,331.990272,353.119232
0000000127,3,1764409499397795000,0.09856,0.084736,0.74112,169.667328,449.729024,470.920448
0000000128,3,1764409499698875000,0.0256,0.025088,0.393472,104.381696,405.296896,426.58176
0000000129,3,1764409499999276300,0.148736,0.14848,0.588544,230.418944,502.932224,523.939584
0000000130,3,1764409500299526700,0.078336,0.07296,0.478464,163.454976,456.75648,477.962752
0000000131,3,1764409500599643400,0.026368,0.026112,0.395008,299.172352,572.065024,593.267456
0000000132,3,1764409500899747800,0.024576,0.02432,0.346368,232.035328,542.028288,562.95296
0000000133,3,1764409501200845000,0.0512,0.050432,0.45056,374.419712,556.473856,577.194752
0000000134,3,1764409501500917800,0.031744,0.031488,0.452352,200.242688,296.005888,316.786688
0000000135,3,1764409501801005600,0.03072,0.030208,0.779776,223.251968,415.983104,437.720832
0000000136,3,1764409502101076000,0.026624,0.026368,0.266496,70.420992,406.060032,427.493632
0000000137,3,1764409502401333200,0.04224,0.041728,0.553216,253.401088,566.836992,587.671296
0000000138,3,1764409502702743800,0.08064,0.079872,0.852992,200.132352,548.598016,569.516544
0000000139,3,1764409503003271200,0.052736,0.05248,0.71936,431.602176,729.449728,750.353152
0000000140,3,1764409503303332600,0.038912,0.038656,0.559872,307.820032,509.12768,530.425088
0000000141,3,1764409503603667700,0.02816,0.027904,0.52864,53.883648,276.80384,298.373888
0000000142,3,1764409503903938300,0.059136,0.05888,0.763648,443.62496,527.05152,548.106496
