gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000343,6,1764432110872567300,0.061952,0.061184,0.470272,8.716288,26.006784,46.944512,241.854464,263.862528
0000000643,9,1764432110950854000,0.061952,0.059904,0.589568,4.90368,17.479424,38.659328,229.418752,250.952448
0000000043,3,1764432111195434800,0.045312,0.044544,0.456704,4.777984,18.723328,39.519488,229.481984,251.72992
0000000143,4,1764432111201652500,0.039168,0.0384,0.54272,4.898816,18.494464,39.379712,229.988352,252.267776
0000000243,5,1764432111244486700,0.08832,0.086016,0.498176,4.4992,17.58592,38.671872,233.162496,255.006976
0000000443,7,1764432111338142200,0.12288,0.121344,0.686336,5.043456,18.807296,39.77728,231.346688,253.172992
0000000543,8,1764432111341657300,0.040704,0.039936,0.451072,6.720512,19.846144,40.650752,231.179008,252.981248
0000000344,6,1764432111372699400,0.03072,0.029952,1.583616,5.359616,16.913152,37.60128,227.233024,248.40064
0000000644,9,1764432111451035400,0.034048,0.03328,1.272832,5.002496,18.61632,39.57376,232.470272,253.764352
0000000044,3,1764432111695720200,0.01536,0.015104,0.361984,4.945664,17.953536,38.691072,228.497408,249.647872
0000000144,4,1764432111701788000,0.021248,0.020736,0.36992,4.909824,16.626176,37.471488,226.085376,247.21152
0000000244,5,1764432111744714200,0.038912,0.038656,1.164544,5.498112,17.7856,38.994688,227.396864,248.584192
0000000444,7,1764432111838278400,0.062976,0.062208,1.06624,6.143488,20.22016,40.86016,236.425728,257.687552
0000000544,8,1764432111841749000,0.033536,0.033024,0.316672,4.742656,18.42432,38.971136,232.200704,253.33632
0000000345,6,1764432111872795600,0.019968,0.019712,0.306432,4.680192,17.338112,38.021632,227.360512,248.911616
0000000645,9,1764432111951364400,0.067328,0.065792,0.460032,4.297216,17.522432,38.156032,229.309952,250.4256
0000000045,3,1764432112195939800,0.023808,0.023296,0.300288,4.386304,17.508864,38.288128,234.133504,255.316736
0000000145,4,1764432112201917200,0.035328,0.03456,0.336384,3.887872,16.539904,37.095424,228.650752,249.685504
0000000245,5,1764432112244802000,0.018432,0.01792,0.354816,4.02176,16.528384,37.276416,226.854144,247.80672
0000000445,7,1764432112338361000,0.031744,0.031232,0.488448,4.152576,17.660928,38.3104,230.36672,251.334144
0000000545,8,1764432112341852700,0.05376,0.04224,0.32512,5.44128,18.633216,39.263232,230.10304,251.27296
0000000346,6,1764432112372902400,0.073216,0.071424,0.331264,4.022784,16.3904,36.90368,226.72128,248.232704
0000000646,9,1764432112451366400,0.02176,0.021504,0.220928,3.782656,16.589312,37.315584,227.881728,248.92544
0000000046,3,1764432112696179500,0.023808,0.023552,0.24576,3.968,16.644864,37.892608,228.359424,249.523456
0000000146,4,1764432112702055000,0.023296,0.022784,0.387328,4.25728,16.392192,36.898048,225.746944,246.71872
0000000246,5,1764432112744924200,0.022528,0.022016,0.228864,3.92576,16.005888,36.477696,226.74944,247.992576
0000000446,7,1764432112838520600,0.03968,0.039168,0.373248,6.106624,21.033216,41.676032,228.971008,250.006272
0000000546,8,1764432112841991700,0.022528,0.022272,0.206336,4.331776,18.659072,39.20256,233.970176,254.760704
0000000347,6,1764432112873064700,0.022016,0.02176,0.228864,4.04608,15.672832,36.321024,226.72384,247.815936
0000000647,9,1764432112951522000,0.024064,0.023808,0.301056,4.006656,15.5584,36.071424,223.74656,244.692224
0000000047,3,1764432113196299000,0.036864,0.036608,0.29824,4.08576,16.456192,36.958976,228.043264,249.062144
0000000147,4,1764432113202168800,0.022016,0.021504,0.268032,3.991808,15.966208,36.451072,225.72672,246.58816
0000000247,5,1764432113245034800,0.043008,0.041728,0.290048,3.946496,15.733504,36.204544,226.867712,248.110848
0000000447,7,1764432113338578400,0.020736,0.02048,0.278016,3.943168,17.944064,38.380032,231.461632,252.712704
0000000547,8,1764432113342100500,0.08704,0.076032,0.438272,5.7984,17.672704,39.190272,228.34816,249.565952
0000000348,6,1764432113373230800,0.015104,0.014848,0.212224,3.879936,15.215104,36.335616,227.0272,248.113664
0000000648,9,1764432113451623700,0.03328,0.032512,0.28416,3.906048,14.74816,36.08448,224.330752,245.45408
0000000048,3,1764432113696540200,0.038656,0.037888,0.274688,4.270848,16.468224,37.630464,227.420928,248.544
0000000148,4,1764432113702291500,0.055808,0.04352,0.284416,4.11776,15.78624,36.47616,224.955648,246.068736
0000000248,5,1764432113745180000,0.025088,0.024576,0.258304,3.926272,15.966464,36.510976,226.039808,247.13344
0000000448,7,1764432113838773800,0.02304,0.022784,0.256768,3.995648,18.596352,39.130624,229.08288,250.224128
0000000548,8,1764432113842220300,0.032,0.031232,0.214784,5.208064,18.251008,39.144192,229.554432,250.77248
0000000349,6,1764432113873326300,0.033024,0.031232,0.354048,4.287488,15.016448,35.544576,229.909248,251.00288
0000000649,9,1764432113952000000,0.045312,0.044544,0.348928,4.00768,15.006208,35.958784,223.545088,244.593664
0000000049,3,1764432114196707000,0.024576,0.02432,0.256256,4.049152,16.219648,37.245696,227.248128,248.45056
0000000149,4,1764432114202416400,0.033024,0.03072,0.275968,3.91552,15.693568,36.36096,224.75392,245.718784
0000000249,5,1764432114245347000,0.022016,0.02176,0.213504,3.75424,14.959616,35.947008,230.030592,251.0912
0000000449,7,1764432114338839000,0.023552,0.023296,0.233984,3.78496,17.09568,37.614848,230.7776,251.995136
0000000549,8,1764432114342347800,0.031232,0.028928,0.221184,4.732416,16.288,36.768,227.72352,248.758528
0000000350,6,1764432114373429800,0.02304,0.022784,0.216064,3.702016,14.668544,35.16672,229.795072,250.965248
0000000650,9,1764432114452056000,0.024576,0.024064,0.269056,3.812352,15.059456,35.60448,228.082176,249.179136
0000000050,3,1764432114696842000,0.025856,0.025344,0.256512,3.97312,16.473088,37.282048,227.591168,248.58112
0000000150,4,1764432114702570500,0.021504,0.020992,0.290304,4.204032,16.802304,37.281024,225.01248,246.016256
0000000250,5,1764432114745459700,0.036608,0.034304,0.257536,4.09088,15.68128,36.175104,229.463552,250.562816
0000000450,7,1764432114838965500,0.017664,0.017408,0.301312,4.141312,17.787392,38.356736,231.60704,252.912384
0000000550,8,1764432114842462200,0.048384,0.047104,0.347136,5.101312,17.191936,37.956864,227.638016,249.316608
0000000351,6,1764432114873570600,0.025344,0.024832,0.22144,4.451584,19.912192,40.540416,229.747456,250.954496
0000000651,9,1764432114952196000,0.023808,0.023552,0.370688,4.150016,15.716608,36.273408,227.004672,248.280832
0000000051,3,1764432115197001700,0.022784,0.022272,0.278272,4.087808,16.831232,37.380608,226.521856,247.578624
0000000151,4,1764432115202640000,0.022016,0.021504,0.211968,4.772608,15.46496,35.933696,224.721408,246.33856
0000000251,5,1764432115245543400,0.029952,0.029184,0.26496,3.768064,14.960384,35.723776,225.776896,246.76736
0000000451,7,1764432115339083000,0.030976,0.030464,0.213504,3.909376,16.907776,37.4848,224.187904,245.300992
0000000551,8,1764432115342587000,0.039168,0.038656,0.263424,4.87936,17.041152,37.628928,224.64128,245.871616
0000000352,6,1764432115373753000,0.044288,0.04352,0.333056,4.215808,15.237376,35.707392,225.80608,246.99264
0000000652,9,1764432115452310800,0.044032,0.043008,0.30592,4.35328,16.062208,36.663296,228.23552,249.238016
0000000052,3,1764432115697126100,0.030976,0.030208,0.312064,4.630016,16.996096,37.55776,228.88448,250.467328
0000000152,4,1764432115702740700,0.020224,0.019968,0.263936,3.716352,14.65472,35.183872,226.00064,246.994944
0000000252,5,1764432115745753300,0.021248,0.020992,0.296704,4.418304,14.69056,35.218944,227.364096,247.796224
0000000452,7,1764432115839201500,0.023296,0.02304,0.279808,4.157952,16.142592,36.632576,223.991552,245.524736
0000000552,8,1764432115842742300,0.024064,0.023808,0.2496,4.98048,16.291328,36.676608,224.592384,245.625088
0000000353,6,1764432115874014700,0.107008,0.105984,0.912896,4.24448,15.050752,35.597056,229.439488,250.442496
0000000653,9,1764432115952432400,0.022272,0.02176,0.395264,4.265728,16.527616,37.740544,226.474496,247.485184
0000000053,3,1764432116197340000,0.022016,0.021504,0.25984,3.822592,14.508288,35.058432,221.680384,242.918656
0000000153,4,1764432116202908200,0.023552,0.023296,0.196864,4.070912,15.019008,36.141312,223.655424,244.786688
0000000253,5,1764432116245881600,0.023808,0.023296,0.251904,3.666688,14.196992,35.303936,225.373952,246.502912
0000000453,7,1764432116339460000,0.02176,0.021504,0.294144,3.678464,17.471232,38.02752,230.206976,251.524096
0000000553,8,1764432116342776600,0.020736,0.020224,0.226816,4.902656,16.310272,37.425408,227.663616,248.297216
