gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000161,4,1764420183219619000,0.031744,0.407296,0.025088,74.041856,333.882368,355.351552,599.42528,621.524224
0000000261,5,1764420183235037400,0.045568,0.3328,0.03712,77.9392,318.440448,340.223488,581.919488,605.169408
0000000062,3,1764420183717399800,0.024064,0.498688,0.023808,115.29984,184.53376,205.795072,444.294144,467.499776
0000000162,4,1764420183719943700,0.026368,0.28544,0.026112,112.803584,182.730496,203.624448,443.593728,465.89952
0000000262,5,1764420183735270400,0.045312,0.375296,0.045056,98.398208,166.311168,188.392192,429.04576,452.161024
0000000063,3,1764420184217496800,0.02176,0.312576,0.021504,184.7104,251.123968,272.843008,515.053056,539.183104
0000000163,4,1764420184219998200,0.031488,0.398336,0.031232,182.851328,248.458752,269.766912,515.912192,540.093952
0000000263,5,1764420184235462700,0.036608,0.42752,0.036096,168.029952,232.9664,255.38944,497.73568,520.886528
0000000064,3,1764420184717661000,0.025856,0.421376,0.0256,40.917504,301.888,322.847232,567.875328,590.57152
0000000164,4,1764420184720474000,0.019968,0.286464,0.019712,40.195072,299.194368,319.910656,565.237248,587.941888
0000000264,5,1764420184735591200,0.033792,1.17376,0.033536,226.041856,284.3776,304.955392,551.13216,574.608128
0000000065,3,1764420185218172700,0.064768,0.488192,0.064,82.597376,146.590464,167.2128,409.71904,5432.379648
0000000165,4,1764420185221150200,0.045056,0.589056,0.044288,80.66688,144.580608,165.348352,405.674752,429.766144
0000000265,5,1764420185235698400,0.026624,0.326912,0.026368,81.762816,338.379264,359.45472,596.997632,5620.369152
0000000066,3,1764420185718610200,0.03584,0.255488,0.035328,147.00672,215.902208,236.900608,481.13408,503.45088
0000000166,4,1764420185722297000,0.014336,0.317952,0.01408,143.07456,212.406528,233.458176,477.283328,5501.012992
0000000266,5,1764420185737182500,0.026624,0.223232,0.026368,114.074624,187.867648,208.755456,453.333248,476.548608
0000000067,3,1764420186219053000,0.034816,0.8128,0.034048,209.312256,286.973184,308.821248,550.098688,575.41632
0000000167,4,1764420186222579500,0.018176,0.233984,0.01792,206.14144,283.386112,304.39552,546.096384,571.461376
0000000267,5,1764420186237387500,0.0192,0.33664,0.0192,191.307008,269.031168,289.605888,530.823936,557.516032
0000000068,3,1764420186719638300,0.027904,0.35328,0.027648,77.028864,340.75136,361.43488,603.433728,626.543104
0000000168,4,1764420186722679600,0.03456,0.3584,0.034048,72.693248,339.321856,360.112384,600.526848,624.708864
0000000268,5,1764420186737872000,0.03968,0.481536,0.039168,58.106368,322.65088,343.213056,586.044416,609.525504
0000000069,3,1764420187219865900,0.08832,0.681216,0.083712,118.796288,187.717888,209.067776,448.205568,470.945024
0000000169,4,1764420187223204000,0.019968,0.255744,0.019712,116.113664,184.682752,205.86112,444.122624,467.68384
0000000269,5,1764420187238743300,0.028928,0.4736,0.028672,100.646912,169.591296,190.418944,430.487552,453.688576
0000000070,3,1764420187720239400,0.024064,0.23296,0.023808,178.99264,240.497152,261.576704,497.79584,520.861184
0000000170,4,1764420187723344600,0.020736,0.36864,0.02048,175.885312,237.02016,257.868544,496.26624,520.03328
