gnbid,type,timestamp,MM5G_DEREGISTERED,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764490161629132500,0.364288,0.045312,0.045568,6.855168,29.932032,51.867904,254.967808,278.382336
0000000044,3,1764490161733261800,0.822016,0.07296,0.073728,136.058112,159.070208,179.88096,375.746816,397.42592
0000000045,3,1764490161837793800,0.380416,0.038144,0.038656,31.289088,48.779264,69.381888,270.986496,292.819456
0000000046,3,1764490161938138000,0.435456,0.050688,0.050944,163.501312,187.80544,208.736,411.04,432.525568
0000000047,3,1764490162038507500,0.368384,0.027648,0.027904,63.213824,79.907328,101.712896,307.872768,329.442816
0000000048,3,1764490162139257300,0.493568,0.08704,0.087296,195.295488,216.910592,237.406976,443.587584,465.074176
0000000049,3,1764490162239472600,0.603392,0.02304,0.023296,99.014912,120.96384,142.260992,347.0976,368.45184
0000000050,3,1764490162339948500,0.428032,0.037376,0.037632,7.9872,27.73888,48.887808,246.527232,268.016384
0000000051,3,1764490162440827100,0.58112,0.04608,0.046848,137.156096,153.29408,174.577664,379.859968,402.45376
0000000052,3,1764490162540922400,0.894976,0.027648,0.027904,37.406976,60.288512,80.83968,280.595968,302.322432
0000000053,3,1764490162641137000,0.274688,0.022784,0.022784,172.400384,190.045184,212.05248,420.97152,442.654464
0000000054,3,1764490162741347000,0.31872,0.026624,0.02688,72.462848,96.952576,117.992704,322.39744,344.325632
0000000055,3,1764490162841322000,0.261632,0.018688,0.018688,210.402304,231.659264,256.169728,457.445888,478.963456
0000000056,3,1764490162941614300,0.326912,0.036096,0.03968,114.320128,133.64096,156.294144,356.567296,378.726144
0000000057,3,1764490163045481000,1.228032,0.210688,0.290048,10.671872,34.884096,56.522752,254.67904,275.45728
0000000058,3,1764490163149859600,0.55296,0.054016,0.054784,141.06496,375.741696,396.208384,620.570624,642.784512
0000000059,3,1764490163250317000,0.39424,0.02688,0.027136,41.598208,274.459392,295.24096,518.139392,538.088448
0000000060,3,1764490163351677200,1.848576,0.485376,0.491008,163.629312,180.223232,201.824256,419.934208,441.996544
0000000061,3,1764490163452021500,0.442368,0.06144,0.061696,64.252672,89.982976,111.364608,321.597184,342.490112
0000000062,3,1764490163552292400,1.483776,0.028416,0.028672,207.413504,233.481728,254.168832,460.86656,481.7856
