gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764422195736510500,2.527744,2.529536,2.970624,39.585024,155.288064,176.48128,437.580544,5461.018112
0000000044,3,1764422196037662200,0.0256,0.025856,1.014528,145.886976,227.16928,248.052992,484.65024,509.328384
0000000045,3,1764422196338083600,0.07296,0.073216,0.678656,198.010368,259.245824,279.970816,523.458048,546.405888
0000000046,3,1764422196638201300,0.027648,0.027904,0.686592,243.976448,317.414144,338.357504,435.295744,457.716224
0000000047,3,1764422196938649000,0.02688,0.027136,0.255488,45.714176,393.162752,413.778176,474.981888,499.241728
0000000048,3,1764422197238770400,0.042496,0.042752,0.310784,117.135872,436.907776,457.36192,510.580736,533.825792
0000000049,3,1764422197538815700,0.026112,0.026368,0.476672,160.318464,477.993472,499.358208,555.197696,578.410752
0000000050,3,1764422197838992000,0.032256,0.032768,0.299008,202.939392,510.918656,532.511744,792.580352,815.865856
0000000051,3,1764422198139133000,0.023808,0.024064,0.322048,234.208,559.073024,579.648768,893.363968,916.09856
0000000052,3,1764422198439253000,0.027648,0.027904,0.36864,214.32704,540.103168,561.318656,693.751296,717.18656
0000000053,3,1764422198739580000,0.025856,0.025856,0.328704,307.282432,496.816128,517.58848,616.237056,639.652352
0000000054,3,1764422199039912400,0.045312,0.046336,0.3072,92.014592,239.645184,260.530432,368.72832,391.468288
0000000055,3,1764422199340235800,0.027392,0.027648,0.40832,82.050048,341.631744,362.322688,612.924928,635.645696
0000000056,3,1764422199640466200,0.029952,0.030208,0.362496,63.618048,390.697472,411.494144,723.953152,748.464896
0000000057,3,1764422199940585000,0.027648,0.02816,0.430848,43.235328,357.358336,378.752,499.517952,522.116608
0000000058,3,1764422200240951600,0.029696,0.029952,0.324352,138.208512,458.276864,479.817984,540.65152,564.04352
0000000059,3,1764422200541151000,0.026624,0.02688,0.30208,182.422784,530.213632,551.241728,646.291712,702.390016
0000000060,3,1764422200841376300,0.035584,0.03584,0.4352,267.312896,453.22368,474.816,800.781568,5824.410624
0000000061,3,1764422201141513700,0.045056,0.045312,0.386304,89.539584,424.046592,445.518848,579.67232,602.449664
0000000062,3,1764422201441533200,0.067584,0.073984,0.655616,215.889664,535.721216,556.709632,621.788416,644.926976
0000000063,3,1764422201741919000,0.025856,0.026368,0.292096,261.385216,424.677632,446.16192,734.812416,757.71136
0000000064,3,1764422202042043600,0.03328,0.033536,0.3136,60.752896,383.75296,404.636928,503.895808,528.308224
0000000065,3,1764422202342536400,0.028416,0.028928,0.564992,147.464192,456.523008,477.22624,741.091328,764.963072
0000000066,3,1764422202642729700,0.025344,0.03072,0.3968,177.183488,517.562624,538.631424,823.423744,846.37568
0000000067,3,1764422202942975700,0.11392,0.129024,0.644096,158.675712,474.880768,496.120832,590.352896,613.21472
0000000068,3,1764422203243083500,0.023808,0.024064,0.271104,238.610944,549.80992,570.395904,622.001664,645.219584
0000000069,3,1764422203543241500,0.028416,0.028672,0.344064,272.965632,404.245248,424.80256,714.96704,737.567744
0000000070,3,1764422203843595000,0.06016,0.064256,0.547072,52.807424,364.4992,385.077248,478.12224,502.032384
0000000071,3,1764422204143739400,0.033792,0.034304,0.528128,129.33504,433.111552,453.77536,506.716672,529.980416
0000000072,3,1764422204444311800,0.027392,0.027648,0.318464,155.291904,469.60768,490.279936,761.975552,785.462528
0000000073,3,1764422204744470500,0.03072,0.030976,0.491264,191.792384,540.730112,561.537536,849.545728,872.137984
0000000074,3,1764422205044931600,0.05376,0.054528,0.720896,193.00992,496.263168,516.939264,615.074048,638.070016
0000000075,3,1764422205345349000,0.027392,0.027648,0.264192,262.25152,398.339072,419.93088,711.683584,734.684416
0000000076,3,1764422205645562000,0.032256,0.03328,0.499456,48.407296,355.067648,376.015616,485.665792,509.89696
0000000077,3,1764422205946143200,0.052736,0.052992,0.502784,126.297856,446.664448,467.244288,521.878784,545.068288
0000000078,3,1764422206247143400,0.03072,0.030976,0.322048,170.278656,477.235456,497.854464,759.177472,5782.210816
0000000079,3,1764422206547512600,0.042752,0.043264,0.277504,198.432256,524.29312,545.198592,832.921344,856.921088
0000000080,3,1764422206847639800,0.057856,0.05888,0.415488,180.400384,483.484672,504.371456,597.961216,620.959744
0000000081,3,1764422207147925000,0.028416,0.028672,0.249088,248.542976,377.900032,399.22304,688.229376,711.017216
0000000082,3,1764422207447993600,0.027648,0.02816,0.263936,33.233152,336.209152,358.132992,453.656576,476.891904
0000000083,3,1764422207748097000,0.039936,0.040192,0.451584,103.18464,408.486656,429.091584,682.674688,706.382592
0000000084,3,1764422208048265500,0.022528,0.022784,0.488448,129.489152,455.458048,476.455168,765.153024,789.742336
0000000085,3,1764422208348451000,0.02432,0.02432,0.265216,104.228096,406.187264,426.874624,528.57856,551.68384
0000000086,3,1764422208648731000,0.030464,0.030976,0.316672,177.926144,481.316352,501.901312,758.68544,780.822016
0000000087,3,1764422208949248000,0.023808,0.024064,0.28032,201.301504,520.574208,541.191168,830.412288,853.834496
0000000088,3,1764422209249726000,0.058368,0.059136,0.47488,178.37184,477.933312,498.458624,593.2096,616.397056
0000000089,3,1764422209549993000,0.274688,0.281088,2.107648,241.230592,569.979392,590.833408,899.792128,922.966272
0000000090,3,1764422209849937200,0.015104,0.01536,0.533248,227.98848,549.6768,570.578176,669.153536,691.98336
0000000091,3,1764422210150110700,0.047872,0.04864,1.018112,315.144704,466.432,487.390464,567.401216,590.861824
0000000092,3,1764422210450549200,0.03456,0.034816,0.496896,89.852928,214.662144,235.960064,319.025152,341.931264
0000000093,3,1764422210750617000,0.027392,0.027648,0.52096,47.516416,312.707072,333.714176,406.59072,429.535744
0000000094,3,1764422211050983400,0.070656,0.070912,0.427776,41.43744,403.661568,425.06752,505.371392,528.604416
0000000095,3,1764422211351854800,0.043776,0.044288,0.49024,143.174144,464.27392,485.246208,540.619008,564.093184
0000000096,3,1764422211652333300,0.08576,0.086272,0.707072,188.638976,499.504128,520.367616,574.28864,596.827136
0000000097,3,1764422211952191700,0.038912,0.039168,0.50432,225.431296,552.340736,573.167616,626.498816,650.054656
0000000098,3,1764422212252578800,0.046848,0.047872,0.363008,274.56256,411.702528,433.2864,721.988864,5745.129728
0000000099,3,1764422212552704800,0.042752,0.043008,0.496896,59.61088,372.116992,392.753664,482.217728,505.887232
0000000100,3,1764422212853140500,0.04352,0.043776,0.387328,134.65088,437.498368,458.173184,716.434176,739.367936
0000000101,3,1764422213153404200,0.059136,0.06144,0.285952,158.755584,483.568384,504.129792,794.385664,817.462784
0000000102,3,1764422213453763800,0.03072,0.030976,0.52096,138.029056,443.818752,464.890368,557.937152,580.521728
0000000103,3,1764422213754707700,0.041728,0.041984,0.3072,207.124224,512.156672,532.846592,803.97184,826.33344
0000000104,3,1764422214054710000,0.019968,0.020224,0.357888,234.618112,588.603648,609.871616,926.025216,949.453312
0000000105,3,1764422214355417600,0.024064,0.02432,0.525568,226.743552,571.871232,592.721152,676.765184,699.413248
0000000106,3,1764422214655750400,0.031744,0.032512,0.376832,223.279104,433.915904,454.609408,758.130432,781.586944
0000000107,3,1764422214956059600,0.02816,0.028416,0.388608,89.36192,402.8928,423.568128,540.634368,564.061952
0000000108,3,1764422215256672000,0.038912,0.03968,0.431104,185.020672,494.212608,514.996224,574.841088,597.4656
0000000109,3,1764422215556968200,0.029184,0.02944,0.362496,216.314624,547.00416,568.045056,640.669696,664.609024
0000000110,3,1764422215857064000,0.026624,0.02688,0.571904,275.030016,446.154496,467.487232,788.647424,813.912576
0000000111,3,1764422216157139200,0.03456,0.04096,1.643008,82.164224,408.717056,430.020096,581.752064,604.594432
0000000112,3,1764422216457415000,0.02432,0.024576,0.590848,207.515392,552.09984,573.338624,645.573888,668.207872
0000000113,3,1764422216757633500,0.026624,0.02688,0.40064,280.42752,431.839744,453.274624,744.503552,767.8336
0000000114,3,1764422217058154800,0.037376,0.04224,0.569344,76.701696,389.080064,410.511872,509.86496,533.076224
0000000115,3,1764422217358932700,0.021504,0.02176,0.323584,154.321408,470.561536,491.724032,546.504192,569.427968
0000000116,3,1764422217659209200,0.031488,0.031744,0.415744,194.057216,502.69312,524.196096,782.52288,5805.695488
0000000117,3,1764422217959189200,0.026112,0.026368,0.277248,224.530176,550.254592,571.030016,872.88448,895.076352
0000000118,3,1764422218259613000,0.038912,0.03968,0.495104,204.677376,514.422016,535.640576,635.899392,659.39456
0000000119,3,1764422218559588000,0.027904,0.03456,0.311808,285.39392,431.107072,451.995648,754.50112,777.934592
