gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000443,7,1764488070498823400,0.038912,0.039168,0.596992,8.832512,26.277632,48.137472,258.9952,282.138368
0000000343,6,1764488070713365000,0.038656,0.038912,0.672768,8.537856,22.002688,43.439872,237.155072,262.22592
0000000043,3,1764488070740613400,0.061696,0.118784,0.839168,7.67104,34.398208,55.542272,257.593344,281.5552
0000000143,4,1764488070740725800,0.032,0.032256,0.741888,6.929664,27.72736,48.88448,245.860096,270.582528
0000000243,5,1764488070744543200,0.099072,0.100352,0.95744,7.325696,30.580224,51.647232,254.220032,278.886144
0000000444,7,1764488070798885000,0.023296,0.023552,0.31232,167.451904,200.048128,221.152256,420.360448,441.270016
0000000344,6,1764488071015184100,0.122112,0.122624,0.519424,146.093568,162.299136,183.046656,376.533248,398.455296
0000000144,4,1764488071041325800,0.04352,0.044032,1.804288,155.359744,183.39072,204.78208,408.269824,429.809408
0000000044,3,1764488071041335300,0.031744,0.032256,0.353792,167.896576,191.02208,211.9872,413.115392,434.564096
0000000244,5,1764488071044991000,0.025088,0.025344,0.407808,163.002624,187.385856,208.74496,411.542784,433.192704
0000000445,7,1764488071099167700,0.032,0.032256,0.703232,112.292864,330.317568,350.957824,546.798848,567.632896
0000000345,6,1764488071315318000,0.030976,0.030976,0.344832,72.087296,285.871104,306.439936,499.55968,521.049344
0000000045,3,1764488071341632300,0.042752,0.043264,0.422656,104.722944,130.031616,150.918912,349.571072,370.390272
0000000145,4,1764488071341785000,0.01792,0.018176,0.339968,104.307712,123.377152,144.202752,338.795776,361.20576
0000000245,5,1764488071345628400,0.03072,0.031232,0.256,101.458176,126.316544,147.686144,342.8224,364.349184
0000000446,7,1764488071399450000,0.023808,0.024064,0.316928,26.565888,246.628096,267.607552,464.3328,486.564096
0000000346,6,1764488071615343400,0.023552,0.023808,0.255744,194.812672,412.869632,434.694144,629.811968,650.893056
0000000046,3,1764488071641712400,0.02432,0.024576,0.374784,43.494656,67.767296,88.369664,286.824448,308.211712
0000000146,4,1764488071642102800,0.016896,0.017152,0.27904,33.924352,59.964672,81.417728,279.286272,301.18016
0000000246,5,1764488071645849600,0.028416,0.028672,0.347648,39.360256,63.577344,84.236544,279.611904,301.659136
0000000447,7,1764488071699591000,0.045312,0.045824,0.277504,158.19776,379.786752,400.733952,605.993472,627.201024
0000000347,6,1764488071915631400,0.02304,0.023296,0.401152,107.056896,329.245952,349.7344,541.515776,562.614528
0000000047,3,1764488071942585000,0.030208,0.03072,0.384,196.65152,227.124992,248.310272,443.163648,464.373504
0000000147,4,1764488071942635800,0.02432,0.024576,0.324608,198.881024,236.892672,257.442304,451.791104,473.597184
0000000247,5,1764488071946688000,0.04864,0.05888,0.514816,193.905408,234.038272,255.482624,450.432512,471.140352
0000000448,7,1764488071999962000,0.045824,0.046336,0.464896,73.491712,88.696832,110.385408,306.415616,328.323072
0000000348,6,1764488072216456200,0.035072,0.03584,1.712128,20.941824,241.48864,262.08256,455.844352,479.55584
0000000148,4,1764488072243087400,0.030976,0.031488,0.290048,147.616512,164.446976,185.658368,380.902656,402.657536
0000000048,3,1764488072243106000,0.018432,0.0192,0.24448,135.499264,355.994624,376.76032,570.407168,592.560384
0000000248,5,1764488072247168500,0.0256,0.026112,0.340224,143.514112,163.545088,184.374528,379.9296,401.2928
0000000449,7,1764488072299997200,0.02176,0.022016,0.210432,5.654784,222.966272,243.822336,436.909312,457.977088
0000000349,6,1764488072516565000,0.020992,0.021248,0.698624,150.103808,368.767744,389.870592,594.5536,617.323008
0000000049,3,1764488072543389700,0.083968,0.084224,0.36352,50.513408,271.358464,292.092672,485.17504,506.7904
0000000149,4,1764488072543456500,0.024832,0.025088,0.40576,72.402688,296.869376,317.868288,512.70784,534.04544
0000000249,5,1764488072547352600,0.01664,0.016896,0.454912,72.936192,296.563968,317.36192,511.956224,533.1328
0000000450,7,1764488072600934400,0.085248,0.134912,0.884992,130.256128,351.480832,372.508416,565.384448,587.017216
0000000350,6,1764488072817148000,0.028928,0.029184,0.5248,61.718016,76.817152,97.80736,295.558656,316.80256
0000000050,3,1764488072843786800,0.024832,0.025088,0.376064,179.401728,408.573952,429.522688,635.656704,657.595648
0000000150,4,1764488072843805400,0.02048,0.020992,0.258304,204.16768,436.047616,456.860416,658.820096,680.404736
0000000250,5,1764488072848530400,0.026112,0.026368,0.51584,203.826176,430.513664,451.497472,659.177216,680.16384
0000000451,7,1764488072901019000,0.033024,0.033536,0.629248,45.429248,265.849088,286.55616,477.709312,498.921984
0000000351,6,1764488073118030300,0.031744,0.032,0.377856,198.729472,212.523776,233.476096,426.35392,447.84896
0000000151,4,1764488073144025600,0.024832,0.025088,0.396288,123.425024,143.238912,164.022528,360.33792,380.923136
0000000051,3,1764488073144027100,0.023296,0.023552,0.420864,98.594816,119.333376,140.063744,335.908096,357.419776
0000000251,5,1764488073149385200,0.030208,0.03072,0.905472,118.841856,140.70144,161.819648,361.7984,382.8928
0000000452,7,1764488073201244200,0.056832,0.057344,0.635648,173.449984,189.145856,209.674752,404.117248,425.357824
0000000352,6,1764488073418434300,0.075008,0.075776,0.489728,120.804608,338.049536,359.33184,548.455936,569.5552
0000000052,3,1764488073444087800,0.037888,0.0384,0.535808,29.107968,245.922816,267.473152,459.40864,480.457984
0000000152,4,1764488073444275700,0.026624,0.02688,0.27264,51.378176,274.459136,295.3664,491.986944,513.44128
0000000252,5,1764488073449955600,0.052736,0.052992,0.434944,55.24224,275.391232,296.38272,493.730816,514.748928
0000000453,7,1764488073501347300,0.034048,0.034304,0.454144,97.2864,320.404736,341.21472,536.369408,557.5104
0000000353,6,1764488073718574300,0.035584,0.03584,1.417728,31.608064,248.611584,269.499648,462.71744,484.024064
0000000053,3,1764488073744371700,0.028672,0.029184,0.72192,153.943296,386.349568,409.772032,,
0000000153,4,1764488073744470000,0.09728,0.098304,0.47744,185.936384,204.587264,225.23264,419.167488,441.196288
0000000253,5,1764488073750103800,0.022528,0.02304,0.424704,189.086976,415.003392,435.58528,652.911872,672.644608
0000000454,7,1764488073801547300,0.031232,0.031488,0.401408,12.710656,237.13536,257.617408,456.740096,479.379712
0000000354,6,1764488074019252200,0.028416,0.028672,0.760832,157.32992,385.168128,406.011904,607.773952,628.91136
0000000054,3,1764488074044479700,0.070144,0.071424,1.466112,66.930176,86.061056,108.032,,
0000000154,4,1764488074045343500,0.032,0.032512,0.58112,111.31008,331.42656,352.407808,547.467008,569.0944
0000000254,5,1764488074050685000,0.032512,0.03328,1.034496,102.503424,127.764224,148.652032,352.350208,372.793856
0000000455,7,1764488074101896700,0.032,0.032,0.448256,148.723456,370.148352,391.20256,582.607104,603.801344
0000000355,6,1764488074319987500,0.026112,0.026112,1.03552,73.414912,90.918912,112.637696,307.710976,328.683264
0000000055,3,1764488074344477400,0.076544,0.087808,0.700672,5.133312,19.987712,41.417472,230.295296,251.762176
0000000155,4,1764488074345036300,0.0192,0.019456,0.617216,25.51168,248.382976,269.728512,462.992896,484.419072
0000000255,5,1764488074350700000,0.026368,0.026624,0.437248,44.147712,262.48064,284.560128,476.859648,497.719552
0000000456,7,1764488074402097000,0.036608,0.036864,0.596736,63.388416,282.852352,303.899648,498.627584,520.099584
0000000356,6,1764488074620674000,0.05376,0.054272,0.7104,6.836224,225.069056,245.74848,440.365312,462.360576
0000000056,3,1764488074644564700,0.024576,0.024832,0.464128,137.28512,151.476224,173.14176,363.7376,385.927936
0000000156,4,1764488074645174000,0.022528,0.023296,0.22784,158.131712,379.308032,400.278016,607.90912,629.152512
0000000256,5,1764488074650777900,0.02944,0.029696,0.41856,172.86144,191.8784,213.053952,405.685248,426.861824
