gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764427932352643300,0.1344,0.586496,0.13568,8.915712,26.351104,47.969536,245.911296,270.00704
0000000044,3,1764427932653935600,0.045312,0.907264,0.04608,153.22496,167.666176,189.186304,381.400576,402.985216
0000000045,3,1764427932954905600,0.036352,0.546816,0.036608,75.081984,292.698624,313.15968,506.639104,527.91808
0000000046,3,1764427933255235300,0.044544,0.568064,0.045568,201.156608,424.431616,445.298176,648.37888,669.766656
0000000047,3,1764427933556221400,0.022528,0.406784,0.022784,117.683712,131.593728,152.56448,347.810304,368.80128
0000000048,3,1764427933856319700,0.027136,0.306944,0.027392,40.3776,54.334208,74.769152,262.856448,284.391168
0000000049,3,1764427934156398300,0.024576,0.327168,0.024832,171.42912,185.33376,206.759936,397.642752,420.544768
0000000050,3,1764427934458553600,0.0448,0.33664,0.045312,91.265536,107.195648,127.625728,319.105792,340.781824
0000000051,3,1764427934759481300,0.020736,0.751872,0.020992,13.876736,227.834112,249.540352,443.06816,464.828928
0000000052,3,1764427935059678200,0.02304,0.264192,0.023296,137.741568,357.950208,379.240448,569.143808,590.894848
0000000053,3,1764427935360100000,0.033024,0.329472,0.033536,51.505152,269.017344,290.094336,482.163712,504.370944
0000000054,3,1764427935661824300,0.032512,0.87808,0.033024,174.315008,401.275648,421.865984,622.727168,643.755264
0000000055,3,1764427935962540000,0.054272,0.530176,0.14464,93.80224,323.326208,344.114432,543.207168,564.834048
0000000056,3,1764427936263246000,0.028672,0.361472,0.028928,15.70176,29.922048,51.656448,242.63552,264.088832
0000000057,3,1764427936563846100,0.027648,0.440576,0.028928,146.927616,159.88992,180.41344,376.755968,398.293504
0000000058,3,1764427936864330800,0.026368,0.579328,0.026624,71.00672,288.370688,309.17248,501.088,522.898688
0000000059,3,1764427937164615400,0.035072,0.388352,0.035584,195.77728,412.553728,433.253632,626.58176,647.779584
