gnbid,type,timestamp,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000854,11,1764419808608206600,0.35712,0.027392,0.027136,68.763904,145.533952,166.751232,196.564992,217.891072
0000000754,10,1764419808610096000,0.424704,0.020736,0.02048,10.686976,84.513536,106.771712,315.415808,337.114368
0000000253,5,1764419808634866000,0.348928,0.0256,0.025344,43.629056,129.72672,151.331584,184.62208,206.341888
0000000143,4,1764419808654025200,0.77696,0.040448,0.040192,20.216064,96.871168,118.589952,313.01504,336.2496
0000000952,12,1764419808663758300,0.370176,0.03456,0.034304,32.83584,112.98048,134.148096,155.992064,177.812736
0000000649,9,1764419808671694600,0.39808,0.025856,0.0256,59.629056,113.012992,134.641664,154.825728,176.241152
0000000447,7,1764419808671922700,0.411648,0.067072,0.066304,202.029568,228.658176,249.775616,527.993344,548.722944
0000001047,13,1764419808672107000,0.329984,0.03456,0.033792,163.077376,187.192576,207.948288,457.02144,477.997824
0000000043,3,1764419808684813300,1.072128,0.063232,0.06272,15.287296,86.156032,106.925824,320.13184,342.500096
0000000543,8,1764419808686561800,0.884736,0.107008,0.106752,13.483264,82.01216,103.20512,311.32288,334.0864
0000000855,11,1764419808708359200,0.523008,0.041216,0.04096,18.75456,76.153088,96.69888,333.275648,356.423424
0000000755,10,1764419808710758100,0.433408,0.023552,0.023296,207.026688,234.692352,255.412992,525.869568,547.218944
0000000343,6,1764419808710832000,0.689152,0.047872,0.047616,17.376256,67.971328,90.004992,305.586176,329.945344
0000000254,5,1764419808735681500,0.502016,0.027392,0.027136,29.568768,91.712256,112.7744,336.107264,358.001408
0000000144,4,1764419808754175500,0.717312,0.063744,0.063232,207.405312,253.578496,274.443776,361.205504,382.203648
0000000953,12,1764419808764248600,0.38528,0.037888,0.037632,32.39168,81.843456,103.204608,336.12032,358.587392
0000000650,9,1764419808771965700,0.900096,0.287488,0.278016,28.637952,79.501312,100.222464,344.08832,361.17376
0000000448,7,1764419808771982600,0.375552,0.043264,0.043008,102.094336,125.465344,146.360064,406.330368,428.363008
0000001048,13,1764419808772084700,0.376064,0.023552,0.022784,63.5264,96.560384,117.505792,388.733184,409.304064
0000000044,3,1764419808785213700,0.283392,0.0384,0.038144,197.943808,266.917632,288.640768,424.647424,446.365184
0000000544,8,1764419808786835700,1.00864,0.271616,0.270592,190.800128,258.490624,279.070464,380.64,402.213888
0000000856,11,1764419808808432400,0.410112,0.024064,0.023808,220.720128,390.669568,411.412736,529.165568,550.981376
0000000344,6,1764419808810996000,0.296448,0.036096,0.03584,186.799104,336.583424,357.04704,437.90464,461.819392
0000000756,10,1764419808811017500,0.270592,0.033536,0.032768,106.7136,131.845632,153.199616,417.500672,439.29984
0000000255,5,1764419808835934500,0.54784,0.032256,0.032,217.791488,403.044096,423.669248,593.581056,615.497216
0000000145,4,1764419808854278400,0.457984,0.069376,0.068608,107.749888,202.040576,223.000064,309.88288,330.77376
0000000954,12,1764419808864453600,0.244224,0.022272,0.022016,198.24512,365.175296,386.34368,540.224,560.795648
0000000449,7,1764419808872045000,0.395776,0.020736,0.02048,4.859136,35.436544,56.115968,333.646336,350.1504
0000000651,9,1764419808872309800,0.265984,0.019712,0.0192,235.74272,395.222016,415.85152,581.083392,608.096768
0000001049,13,1764419808872721000,0.309504,0.03328,0.033024,244.852736,402.540544,424.004864,593.802496,614.706176
0000000045,3,1764419808885414000,0.615168,0.034048,0.033536,107.505408,267.543552,288.402944,366.850048,387.298048
0000000545,8,1764419808886940000,0.498944,0.150272,0.14976,94.047744,200.34176,221.23136,358.539264,381.759488
0000000857,11,1764419808908548400,0.27264,0.022784,0.022528,122.759168,289.557248,310.692096,410.681344,432.85376
0000000757,10,1764419808911018000,0.505088,0.026624,0.026112,12.583936,39.649024,61.079552,331.698176,353.957888
0000000345,6,1764419808911031800,0.228864,0.020224,0.019968,86.90816,249.279232,270.025984,333.801472,355.088128
0000000256,5,1764419808936469200,2.100224,0.043776,0.043264,121.140224,297.182976,318.723584,399.424512,421.171456
0000000146,4,1764419808954654000,0.653824,0.034048,0.033792,7.294208,74.416384,95.023616,181.310208,208.166656
0000000955,12,1764419808965048300,0.237824,0.027392,0.027136,129.664768,316.062976,337.201408,508.617728,529.750528
0000000450,7,1764419808972494000,1.027072,0.046592,0.045568,181.672448,492.054528,512.815616,668.129536,688.885504
0000000652,9,1764419808972595500,1.449728,0.03072,0.030208,143.246336,314.700032,335.645696,491.445504,512.849408
0000001050,13,1764419808973179000,0.259072,0.022016,0.02176,148.00384,545.848576,567.000064,685.201408,706.2336
0000000046,3,1764419808985800000,0.47616,0.027392,0.027136,21.86368,203.528448,224.96768,313.284352,338.125568
0000000546,8,1764419808987609300,1.592832,0.0768,0.076032,24.092416,212.380928,233.364992,312.097536,332.697344
0000000858,11,1764419809009168400,0.423424,0.035584,0.035072,41.184768,305.066752,329.126912,483.841024,506.358016
0000000758,10,1764419809011318300,0.473856,0.024064,0.023808,185.139456,458.60864,481.188864,544.310272,566.202112
0000000346,6,1764419809011404800,0.634624,0.016128,0.015872,26.861056,280.128768,308.917248,460.440832,483.401472
0000000257,5,1764419809036608300,0.683776,0.035072,0.034816,23.228928,431.799808,453.061376,613.713664,634.962176
