gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000098,3,1764420027902687500,0.033792,0.491008,0.03456,74.262528,333.944576,356.676864,603.350016,626.922752
0000000099,3,1764420028404290800,0.045056,1.025792,0.045568,114.777856,176.33408,197.860864,429.599488,459.77088
0000000100,3,1764420028906867000,0.182016,0.70016,0.182784,157.331968,210.37056,230.865664,462.726656,485.669888
0000000101,3,1764420029406953500,0.024064,0.405248,0.02432,187.540224,238.889472,260.508672,492.757504,515.586048
0000000102,3,1764420029907195400,0.020992,0.26752,0.021248,218.468352,274.569728,295.183616,530.001408,5554.126336
0000000103,3,1764420030407318300,0.038144,0.362496,0.0384,58.092032,319.929856,341.280512,581.02144,604.64256
0000000104,3,1764420030907607800,0.131584,0.52352,0.132096,95.542528,160.540416,181.781248,417.926144,441.22624
0000000105,3,1764420031407529000,0.019968,0.420864,0.019968,158.469888,227.609344,248.388608,479.557888,501.502976
0000000106,3,1764420031907582000,0.02304,0.333312,0.023296,208.51328,260.533504,281.286656,512.328704,534.729216
0000000107,3,1764420032407985700,0.02176,0.378112,0.022016,34.612224,293.287936,313.771264,553.48224,575.996928
0000000108,3,1764420032908265000,0.025344,0.388352,0.025856,75.572736,335.176192,356.106752,592.433408,615.931392
0000000109,3,1764420033408456400,0.100096,1.358592,0.101632,107.887872,167.717376,188.458752,432.895232,456.496896
0000000110,3,1764420033909798400,0.07808,1.29536,0.079104,157.399808,208.321024,229.782272,459.094784,482.186496
0000000111,3,1764420034409856300,0.08064,1.596416,0.081152,186.896896,242.537984,263.224832,495.662336,519.129856
0000000112,3,1764420034910846200,0.049152,0.548608,0.049408,221.434368,273.96736,294.9312,532.681472,555.974144
0000000113,3,1764420035410857200,0.12416,0.635392,0.125952,55.803904,319.001856,339.844864,577.5168,601.297408
0000000114,3,1764420035912525600,0.080384,0.475648,0.08064,90.92352,160.731392,181.752064,413.521152,5439.38688
0000000115,3,1764420036412743000,0.071936,0.391424,0.072704,142.404864,192.1216,213.01248,446.07232,470.2656
0000000116,3,1764420036912914700,0.025856,0.269568,0.026112,175.58912,231.464704,252.432896,484.256,507.29728
0000000117,3,1764420037414717200,0.02688,0.297984,0.027136,206.887936,258.416896,279.32672,512.059392,534.882816
0000000118,3,1764420037914259200,0.02432,0.328704,0.024576,34.778112,290.54464,313.000448,545.724672,568.877056
0000000119,3,1764420038414768600,0.027648,0.333056,0.02816,66.776064,320.544512,341.099776,580.19968,603.11424
0000000120,3,1764420038915588600,0.025856,1.260544,0.026368,91.427072,154.023168,174.797824,413.607936,436.551936
0000000121,3,1764420039416321300,0.039168,0.75264,0.039936,140.593664,195.170816,216.27392,452.823296,477.232896
0000000122,3,1764420039917344500,0.027136,0.491008,0.027392,186.237696,239.14368,260.182016,494.951424,519.124224
0000000123,3,1764420040417425000,0.026112,0.401664,0.026368,226.43456,280.794112,301.55136,553.67296,578.064128
0000000124,3,1764420040918075000,0.032256,0.637696,0.032512,79.917056,341.739776,362.705664,594.584576,617.309952
0000000125,3,1764420041418794000,0.059136,0.425216,0.06016,108.087296,166.751744,187.347712,417.764864,442.018048
0000000126,3,1764420041918990600,0.022784,0.296192,0.02304,145.04448,196.465664,217.27872,448.6784,471.871232
0000000127,3,1764420042419529200,0.048128,0.684032,0.048896,177.737728,230.272,251.932416,480.28288,502.89536
0000000128,3,1764420042920212700,0.025344,0.941312,0.0256,209.650688,262.608896,283.175936,515.85536,540.617472
0000000129,3,1764420043420740000,0.024064,0.349184,0.02432,36.483072,294.729984,315.259392,552.11648,5575.670784
0000000130,3,1764420043921507600,0.02944,1.656832,0.029952,75.892736,336.404992,358.078976,590.088704,612.637696
0000000131,3,1764420044422766000,0.02816,0.363264,0.028416,100.320256,161.088256,181.83296,411.586304,434.859264
0000000132,3,1764420044923977000,0.024832,0.254208,0.025088,148.09088,208.62464,229.406208,463.666432,486.889984
0000000133,3,1764420045424006000,0.023808,0.529664,0.024064,192.679168,276.505344,297.878784,536.140032,560.121088
0000000134,3,1764420045924519700,0.038144,0.455936,0.0384,61.841664,322.16704,343.537152,578.025984,601.477888
0000000135,3,1764420046425224700,0.0704,1.027072,0.070656,90.544896,148.222976,169.120512,402.349056,424.884992
0000000136,3,1764420046925337300,0.169728,0.906752,0.170496,128.355072,179.893248,201.672704,433.062656,456.78976
0000000137,3,1764420047428001000,0.02816,0.377856,0.028416,157.135104,209.534464,232.04224,461.127424,485.221376
0000000138,3,1764420047928277000,0.019968,0.312064,0.020224,187.978752,253.027328,273.619456,503.593216,525.979648
0000000139,3,1764420048428470300,0.027136,0.323072,0.027392,25.671168,284.298752,305.207808,538.521856,560.946432
0000000140,3,1764420048928592000,0.026368,0.423936,0.026624,59.232768,326.58304,347.616512,584.036864,606.727424
0000000141,3,1764420049428749000,0.100096,0.657664,0.100864,95.78368,155.234304,175.848192,411.424256,435.46112
0000000142,3,1764420049928787500,0.026368,0.943616,0.026624,139.17056,190.55488,211.142912,444.529664,471.300864
