gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000243,5,1764486606676181500,0.04736,0.047104,1.088,8.025856,24.322304,45.681408,245.126144,269.025024
0000000043,3,1764486607002895000,0.041728,0.041472,1.690368,6.57024,23.381248,44.441344,238.35008,260.380672
0000000143,4,1764486607003075600,0.062976,0.061696,0.566528,6.38336,23.045376,43.83104,238.066688,260.219648
0000000244,5,1764486607076537000,0.029952,0.02944,0.802816,53.400576,65.38496,86.200064,278.337024,300.182784
0000000044,3,1764486607403071500,0.040192,0.039936,2.471424,46.691328,61.815296,82.512128,271.736576,293.238784
0000000144,4,1764486607403325200,0.023552,0.02304,2.711296,46.781184,64.805888,86.063872,276.163584,298.778112
0000000245,5,1764486607476640300,0.042496,0.04224,1.02784,85.64608,98.694912,119.613952,309.572864,332.30336
0000000045,3,1764486607803313700,0.03328,0.033024,0.249856,82.502144,102.832128,123.418368,323.582464,345.2224
0000000145,4,1764486607803539700,0.02688,0.025344,0.381184,82.465536,102.775808,123.782656,325.344,346.62912
0000000246,5,1764486607880612900,0.220928,0.219904,0.89472,113.51552,126.993664,147.571712,341.218304,363.172096
0000000046,3,1764486608203740200,0.038912,0.0384,0.302336,130.122496,146.808064,167.512064,362.84288,384.388352
0000000146,4,1764486608203882800,0.023808,0.023296,0.430848,129.871616,148.829184,169.652992,363.023872,384.223232
0000000247,5,1764486608280852500,0.100096,0.085504,0.447232,149.22496,163.334656,184.877824,373.351168,394.80448
0000000047,3,1764486608604087600,0.025344,0.025088,0.4224,169.968128,188.380672,209.12256,403.855872,425.363456
0000000147,4,1764486608604187000,0.025088,0.024832,0.559104,170.108672,187.810816,209.105664,402.694912,425.26208
0000000248,5,1764486608681930500,0.024576,0.02432,0.455424,179.797248,192.864512,213.888512,404.652288,428.159488
0000000048,3,1764486609004157700,0.043264,0.042496,0.396032,7.638016,20.725504,41.738752,238.980352,260.429312
0000000148,4,1764486609004227000,0.027392,0.027136,0.320512,7.630848,229.090816,250.257408,445.963776,467.674368
0000000249,5,1764486609082385700,0.02432,0.024064,0.423936,4.548096,219.960832,240.674048,434.953216,461.775104
0000000049,3,1764486609404301000,0.034304,0.033792,0.358912,46.294016,60.22784,80.899328,269.440512,291.108352
0000000149,4,1764486609404353500,0.047872,0.047104,0.767488,39.9744,259.872768,281.156864,472.959232,494.83904
0000000250,5,1764486609482771200,0.020224,0.019968,0.50176,29.333248,248.9856,269.626112,460.468224,481.599744
0000000150,4,1764486609804470800,0.041472,0.040704,0.795136,67.83488,86.873344,107.773696,301.001728,322.084096
0000000050,3,1764486609804475400,0.035584,0.035072,0.717568,77.380352,94.158592,114.645248,306.74176,328.406528
0000000251,5,1764486609883007500,0.02688,0.026624,0.410112,55.519744,70.098432,91.286016,287.7568,309.372672
0000000051,3,1764486610205148000,0.026368,0.0256,0.22144,114.033408,130.195712,152.546048,348.14336,369.729536
0000000151,4,1764486610205728300,0.042752,0.040192,0.677888,107.675392,124.558336,145.125376,348.140288,369.593088
0000000252,5,1764486610283185700,0.04864,0.048384,0.357632,93.956608,106.204672,127.386624,319.753472,342.018304
0000000052,3,1764486610605207300,0.027136,0.02688,1.345536,157.842688,180.770816,201.830912,397.885696,418.700288
0000000152,4,1764486610605816600,0.020224,0.019712,0.509952,157.173248,181.03168,201.802752,396.4992,418.071808
0000000253,5,1764486610683445500,0.047616,0.047104,0.442112,127.586048,142.022656,162.8352,353.8368,375.337472
