gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000243,5,1764486137965933800,0.06784,0.066816,0.6592,37.502976,147.426816,168.547072,411.155968,5433.667584
0000000343,6,1764486138118999800,0.071936,0.070656,0.912128,27.235328,79.893504,101.239552,348.89984,5371.769856
0000000443,7,1764486138225056500,0.04864,0.047872,0.591872,24.660224,100.808448,121.861632,356.280832,5379.186432
0000000143,4,1764486138226148000,0.03584,0.035072,0.421632,23.270912,99.422464,120.801536,362.342912,5385.636096
0000000043,3,1764486138328116500,0.043008,0.04224,0.623616,22.649856,71.126016,92.28928,355.724544,5378.766336
0000000244,5,1764486138366019300,0.063488,0.062464,0.477696,26.24896,343.419392,364.230656,599.158016,622.1248
0000000344,6,1764486138519094300,0.039936,0.039168,0.444928,175.661824,230.980096,251.7696,498.54336,523.171584
0000000444,7,1764486138625199900,0.036096,0.035328,1.566976,180.78848,233.150208,253.976576,518.889216,541.394432
0000000144,4,1764486138626287400,0.033536,0.032768,0.513024,181.767424,231.155456,252.045056,515.463168,538.729728
0000000044,3,1764486138728322000,0.077568,0.076032,1.664768,183.388672,244.20992,265.572352,503.53536,526.661888
0000000245,5,1764486138766108400,0.029184,0.028928,0.674816,216.939776,309.4784,330.370048,581.03808,604.11136
0000000345,6,1764486138919196400,0.038912,0.0384,0.480768,104.21888,192.238592,213.030656,463.0144,486.456832
0000000445,7,1764486139025254700,0.038656,0.038144,0.307456,128.86144,193.526528,214.155264,452.136448,474.482432
0000000145,4,1764486139026418700,0.062464,0.050176,0.46464,128.497152,190.535936,211.40992,447.035904,469.80096
0000000045,3,1764486139128365600,0.023296,0.02304,0.293376,116.696832,186.2592,207.137536,449.399808,472.101376
0000000246,5,1764486139166397200,0.0448,0.044288,0.582912,190.330112,251.785728,272.93824,512.21376,534.831616
0000000346,6,1764486139319272200,0.029952,0.02944,0.420352,88.848896,409.993984,430.994432,693.362944,717.477888
0000000446,7,1764486139425449000,0.04352,0.042496,0.413952,74.719744,338.418432,359.503104,628.362496,651.193344
0000000146,4,1764486139426593300,0.043776,0.043008,0.341504,71.422208,331.748096,352.606208,601.437952,624.572672
0000000046,3,1764486139528523800,0.028928,0.028416,0.423936,70.00576,322.740992,343.832832,602.841344,626.061056
0000000247,5,1764486139566526200,0.04608,0.045312,0.483584,136.802048,197.334272,218.985472,485.268224,508.048128
0000000347,6,1764486139719622000,0.026624,0.026112,0.780544,31.122432,362.822656,383.555328,620.433408,644.686848
0000000447,7,1764486139825560800,0.036608,0.03584,0.407296,252.114688,330.58688,351.319552,625.734656,648.7616
0000000147,4,1764486139827304000,0.023552,0.02304,0.262656,213.711104,305.257984,326.168064,583.804672,607.214592
0000000047,3,1764486139928639200,0.06144,0.049664,0.45184,212.539392,274.4768,295.895296,547.33056,570.462208
0000000248,5,1764486139966670800,0.020736,0.02048,0.420352,120.400384,373.737728,395.199232,631.02848,654.66112
0000000348,6,1764486140119751000,0.047872,0.047104,0.471552,238.799616,323.572224,344.398848,577.60896,601.041408
0000000448,7,1764486140225627100,0.025344,0.025088,0.497408,234.253568,301.671424,322.290432,583.639552,606.806272
0000000148,4,1764486140227388700,0.025344,0.024832,0.269056,195.826432,268.210176,290.321664,536.893696,559.752704
0000000048,3,1764486140329042400,0.04096,0.040192,0.489728,155.308544,215.451392,236.123904,490.765568,514.537984
0000000249,5,1764486140366766300,0.034304,0.033536,0.42496,245.874944,302.287104,323.183872,562.737408,585.475072
0000000349,6,1764486140519861200,0.032512,0.032256,0.437248,192.850176,271.214592,291.97312,528.252416,552.536064
0000000449,7,1764486140625799400,0.033536,0.032768,0.679424,193.113344,253.1264,273.788672,524.06016,547.1488
0000000149,4,1764486140627519500,0.041472,0.040448,0.350976,152.538368,224.951808,245.758976,483.565312,504.612096
0000000049,3,1764486140729111300,0.024064,0.023808,0.626176,102.253824,159.445504,180.27008,422.1056,445.225984
0000000250,5,1764486140766980000,0.033024,0.032256,0.40832,174.810112,230.22208,251.025408,482.850048,505.37088
0000000350,6,1764486140920362800,0.041728,0.04096,0.446208,138.839296,211.84128,232.37504,471.92576,495.730176
0000000450,7,1764486141025915000,0.035328,0.034816,0.382976,137.940736,191.015936,211.79008,486.1184,508.35328
0000000150,4,1764486141027699000,0.03584,0.035072,0.451072,92.653312,154.949376,175.730432,443.4048,471.63392
0000000050,3,1764486141129352700,0.043008,0.04224,0.416768,42.797568,350.087424,370.770944,621.404928,643.984384
0000000251,5,1764486141167237600,0.028672,0.02816,0.337664,96.517376,156.312832,177.287424,415.762688,438.208512
0000000351,6,1764486141320477000,0.043776,0.043264,0.700672,81.265408,192.519168,213.81248,458.07232,482.439424
0000000451,7,1764486141426566000,0.068096,0.05632,0.348416,111.649792,373.559552,394.926336,646.081536,670.115328
0000000151,4,1764486141427760600,0.02304,0.022784,0.224768,70.930176,340.589824,361.659648,602.325248,626.739712
0000000051,3,1764486141529622300,0.0384,0.037888,0.519424,239.727616,298.766336,321.286656,571.91808,595.163648
0000000252,5,1764486141567416800,0.028928,0.028672,0.417024,36.784128,298.10048,318.941696,579.898368,602.642688
0000000352,6,1764486141721077500,0.04224,0.041472,0.499968,80.737024,370.431232,391.281664,628.32,650.107648
0000000452,7,1764486141826584300,0.053504,0.05248,0.353792,268.334848,346.910208,367.83488,614.723072,640.903424
0000000152,4,1764486141827931000,0.02048,0.020224,0.500224,217.012224,298.322432,319.622912,562.651904,586.119424
0000000052,3,1764486141929783600,0.032256,0.031744,0.516352,197.429248,266.280704,287.109888,557.408768,578.846208
0000000253,5,1764486141967554000,0.038656,0.038144,0.371712,197.988608,261.646592,282.517248,550.19648,578.170368
0000000353,6,1764486142121114400,0.030464,0.029952,0.32512,236.289536,309.788928,333.413376,562.267904,585.611008
0000000453,7,1764486142226752800,0.044544,0.044032,0.352768,222.326016,318.162432,343.077632,607.260416,628.845312
0000000153,4,1764486142228004900,0.02432,0.023808,0.396288,171.2448,258.031104,278.921472,514.781952,538.358528
0000000053,3,1764486142329936600,0.045056,0.044288,0.420608,175.581952,239.329792,260.301056,505.160192,527.751168
0000000254,5,1764486142367679000,0.035072,0.03456,0.267776,168.508672,225.7536,246.341376,503.77728,526.377216
0000000354,6,1764486142521237000,0.028928,0.028416,0.280832,175.509248,247.018496,267.780864,495.592448,517.73696
0000000454,7,1764486142626840300,0.03328,0.032512,0.348928,209.64992,275.352064,296.195584,526.311168,548.360704
