gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764422698418112800,0.044288,0.04352,0.61824,8.644352,23.994368,44.913408,239.991552,261.564672
0000000044,3,1764422698618514000,0.086784,0.070656,0.438784,30.871808,42.618112,63.351296,255.035648,276.007936
0000000045,3,1764422698818759200,0.033536,0.032768,0.380416,50.22976,269.577984,290.362112,487.288576,508.732928
0000000046,3,1764422699018964500,0.024832,0.02432,0.37376,65.640704,288.271104,308.692736,499.158272,520.001024
0000000047,3,1764422699219096300,0.026112,0.0256,0.251392,82.932992,300.782336,321.353472,515.401216,536.063232
0000000048,3,1764422699419446500,0.044544,0.043776,0.38144,94.287616,315.667456,336.086784,527.518464,549.216768
0000000049,3,1764422699619517700,0.04224,0.041472,0.972288,110.210048,327.853056,348.806656,539.386368,560.414208
0000000050,3,1764422699819635700,0.013312,0.013056,0.278784,122.151936,339.725824,360.143616,563.689984,584.771328
0000000051,3,1764422700019862800,0.034304,0.033536,0.283136,133.750528,146.353408,166.762496,363.997184,385.7792
0000000052,3,1764422700220048100,0.032256,0.031744,0.330496,157.954816,170.604032,191.058176,381.933312,402.92608
0000000053,3,1764422700420059100,0.022272,0.022016,0.299776,176.814592,392.875008,413.391872,610.008576,630.608384
0000000054,3,1764422700620164000,0.023808,0.023552,0.188416,188.98432,406.527488,427.603968,637.314048,659.300608
0000000055,3,1764422700820269300,0.022784,0.022272,0.222464,201.849856,215.664896,236.385536,442.002432,462.109696
0000000056,3,1764422701020340700,0.031488,0.030976,0.289024,4.505344,21.73952,42.112,241.80608,261.561344
0000000057,3,1764422701220404700,0.038656,0.037632,0.344064,33.407744,46.125312,66.659072,260.611328,282.259968
0000000058,3,1764422701420645400,0.045056,0.044288,0.29696,56.740864,272.726784,293.342976,490.61248,511.051264
0000000059,3,1764422701620860200,0.02176,0.021248,0.235008,67.767552,290.75968,311.258112,511.615232,533.109248
0000000060,3,1764422701821069600,0.024576,0.02432,0.265984,81.303296,96.134912,116.750336,312.15488,333.541376
0000000061,3,1764422702021143800,0.016384,0.015872,0.292096,105.483776,119.14112,139.65952,328.100096,349.433088
0000000062,3,1764422702221239000,0.027136,0.026624,0.48128,124.154624,339.172608,359.86176,554.613248,575.947776
0000000063,3,1764422702421462000,0.027392,0.02688,0.449536,135.493888,354.896896,375.447296,569.760768,591.79776
0000000064,3,1764422702621664300,0.026624,0.026112,0.261376,148.710656,371.782144,392.299008,584.770304,606.023168
0000000065,3,1764422702821793800,0.035584,0.033792,0.295936,165.031168,385.427968,405.922816,596.364544,617.467136
0000000066,3,1764422703021937400,0.016384,0.016128,0.345088,180.323328,396.718848,417.231616,608.859392,629.982464
0000000067,3,1764422703222892800,0.020992,0.020736,0.51328,190.81216,406.639616,427.591936,635.471616,656.664832
0000000068,3,1764422703423680000,0.020224,0.019968,0.321792,200.963072,215.021056,235.914752,436.545024,459.009024
0000000069,3,1764422703623833300,0.03328,0.032512,0.257024,3.908864,20.52096,40.981248,238.066944,259.225088
0000000070,3,1764422703823914800,0.03328,0.032512,0.389632,31.094528,248.936192,269.53344,463.052032,484.673792
0000000071,3,1764422704024176000,0.0256,0.025088,0.314624,44.68864,263.549184,284.148736,485.14304,506.63296
0000000072,3,1764422704224219100,0.020992,0.020736,0.299008,57.4592,70.26176,90.79808,285.321216,307.433216
0000000073,3,1764422704424443000,0.036352,0.03584,0.267776,78.134784,91.69024,113.113856,301.965824,323.644928
0000000074,3,1764422704624588800,0.038656,0.038144,0.368384,96.866048,313.732352,335.522048,539.891456,561.475072
0000000075,3,1764422704824727600,0.038912,0.038144,0.342784,109.519104,123.391488,144.151552,341.035776,362.28608
0000000076,3,1764422705024919800,0.02688,0.026368,0.453888,133.981184,356.268288,376.988416,569.437184,590.661888
0000000077,3,1764422705225083100,0.03456,0.033792,0.317952,151.802368,370.676736,391.132672,582.10816,603.179264
0000000078,3,1764422705425226800,0.033024,0.027904,0.722688,164.902656,382.186752,402.667008,593.115904,614.256384
0000000079,3,1764422705625413600,0.030464,0.030208,0.379648,176.701696,393.257472,413.881856,605.2864,626.37824
0000000080,3,1764422705825597200,0.036096,0.035328,1.150976,187.739904,407.319552,428.574464,635.78624,656.662528
0000000081,3,1764422706026149600,0.015104,0.014592,0.182272,200.059136,212.032512,232.54912,436.018944,456.867072
0000000082,3,1764422706226293500,0.013312,0.013056,0.166656,6.694656,21.613312,42.167552,237.104896,258.115072
0000000083,3,1764422706426566700,0.02304,0.022784,0.268544,31.881984,245.875712,266.487552,462.023168,483.88096
0000000084,3,1764422706626847200,0.027136,0.026624,0.366848,42.02368,263.287808,283.98592,487.938048,509.091328
0000000085,3,1764422706827029200,0.029184,0.028672,0.428544,56.460544,71.07584,91.963136,288.798208,309.751296
0000000086,3,1764422707027242500,0.039936,0.039424,0.377344,80.591872,298.98752,319.723776,515.1104,536.723968
0000000087,3,1764422707227419600,0.027392,0.027136,0.315904,94.337792,316.04352,336.887808,529.169408,550.179584
0000000088,3,1764422707427610600,0.06784,0.063744,0.558592,108.59264,329.61408,350.399488,543.62496,565.07392
0000000089,3,1764422707627650000,0.030208,0.029952,0.475136,124.14592,343.951104,364.6016,555.05152,576.510976
0000000090,3,1764422707827737900,0.040448,0.039936,0.444928,138.811392,356.64256,377.527552,569.57056,591.113984
0000000091,3,1764422708027924500,0.026368,0.026112,0.4672,150.18368,370.331904,391.315456,592.565504,614.652672
0000000092,3,1764422708228076800,0.025344,0.024832,0.73984,163.23072,177.612544,198.136832,392.802048,413.919744
0000000093,3,1764422708428184300,0.03968,0.039168,0.282368,187.193856,404.413952,425.04192,638.332672,659.712512
0000000094,3,1764422708628363800,0.048384,0.04736,0.406272,200.73216,213.563904,234.09408,440.10752,461.152768
0000000095,3,1764422708828409900,0.038656,0.038144,0.240128,6.862848,23.65184,44.238848,241.545216,262.782464
0000000096,3,1764422709028634400,0.029184,0.028928,0.312832,35.770368,251.849984,272.43392,475.414016,497.337344
0000000097,3,1764422709228818700,0.027904,0.027648,0.346112,48.368128,60.7168,81.942272,275.689984,297.088512
0000000098,3,1764422709429005000,0.029696,0.02944,0.274688,69.814272,82.911488,103.491328,293.096448,314.505216
0000000099,3,1764422709629225700,0.04608,0.045568,0.28928,87.932416,303.529984,324.205312,518.726912,539.633152
0000000100,3,1764422709829462300,0.042752,0.04224,0.427008,99.39712,319.553792,340.099584,529.961728,551.176192
0000000101,3,1764422710029580000,0.027392,0.026624,0.271104,113.440512,329.769984,350.46784,550.185984,570.935808
0000000102,3,1764422710229814300,0.027392,0.02688,0.306432,124.4032,135.980544,156.532992,350.516224,371.735296
0000000103,3,1764422710430004200,0.02816,0.027648,0.32512,143.966208,156.249088,176.948992,366.662144,387.942144
0000000104,3,1764422710630125300,0.038656,0.038144,0.25088,163.689472,378.362624,399.014912,593.613056,614.331904
0000000105,3,1764422710830232800,0.01664,0.016384,0.266752,174.691328,393.220864,413.642496,605.114112,626.650112
0000000106,3,1764422711030362400,0.022784,0.022272,0.256256,187.82464,402.892032,424.112896,633.249792,654.195712
0000000107,3,1764422711230505200,0.031232,0.03072,0.282368,199.085312,210.626304,231.2064,434.57152,455.072
0000000108,3,1764422711430709500,0.032768,0.032256,0.292096,5.230336,20.183296,40.657408,234.197248,255.216384
0000000109,3,1764422711630828000,0.030208,0.02944,0.278528,28.474112,241.163264,261.7152,464.077312,485.767936
0000000110,3,1764422711831036000,0.026368,0.025856,0.293376,38.218496,49.024256,69.509888,265.507072,286.03136
0000000111,3,1764422712031187500,0.038656,0.038144,0.264704,58.323456,70.561024,91.17824,281.840384,302.934016
0000000112,3,1764422712231399700,0.031744,0.031488,0.332544,77.904128,292.184832,312.775936,503.346432,524.453632
0000000113,3,1764422712431563500,0.027648,0.027136,0.278528,88.818176,303.823616,324.36224,514.914816,535.749376
0000000114,3,1764422712631767600,0.029952,0.02944,0.396288,98.665216,313.84192,334.42048,529.720576,549.351168
0000000115,3,1764422712831896000,0.030208,0.029696,0.364544,110.279424,328.335872,348.945152,538.289152,559.470592
0000000116,3,1764422713032052000,0.021504,0.021248,0.290304,123.033344,339.154432,359.592704,554.19776,575.381504
0000000117,3,1764422713232111000,0.023296,0.02304,0.414464,134.042624,354.607616,375.114496,565.752064,587.195136
0000000118,3,1764422713432335000,0.023296,0.02304,0.265472,149.35424,364.336384,384.977664,577.950464,599.117056
0000000119,3,1764422713632467000,0.022784,0.022272,0.211456,161.172992,378.850816,399.292416,590.675968,611.973888
0000000120,3,1764422713832526000,0.089344,0.08576,0.377344,173.62048,391.819776,412.468736,608.28032,629.389568
0000000121,3,1764422714032537300,0.036096,0.03584,0.23808,184.98688,197.214976,217.782528,410.068736,431.193344
0000000122,3,1764422714233160400,0.032,0.031488,0.210432,202.700544,421.754112,442.318592,639.805696,661.074688
0000000123,3,1764422714433273900,0.013568,0.013312,0.165632,4.72704,221.975296,242.428416,442.051328,463.004672
0000000124,3,1764422714633520600,0.040704,0.040192,0.278528,15.667712,27.507456,48.01024,242.212608,263.4432
0000000125,3,1764422714833736000,0.022784,0.022528,0.251392,36.76928,250.231552,271.254528,464.431616,485.545472
0000000126,3,1764422715034134300,0.049664,0.049152,0.370176,46.403584,264.489984,284.955904,475.638784,496.926464
0000000127,3,1764422715234369000,0.024832,0.024576,0.191744,59.560192,276.530432,296.992,487.827456,509.070336
0000000128,3,1764422715434543000,0.046336,0.045568,0.310784,70.843904,288.703232,309.264128,503.489024,524.756736
0000000129,3,1764422715634637300,0.03072,0.030464,0.293376,83.211008,303.970816,324.448768,515.016448,536.317184
0000000130,3,1764422715834872300,0.027392,0.027136,0.284672,99.001856,315.363072,335.990784,527.282432,548.37376
0000000131,3,1764422716035110100,0.043264,0.042496,0.300544,110.39616,327.98592,348.649984,538.839296,559.931136
