gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764487962236404500,0.04224,0.041728,0.490752,22.52544,102.34624,123.986432,371.689728,5394.45504
0000000044,3,1764487962336683300,0.025088,0.024576,0.32768,17.557248,321.629952,342.016512,439.247872,461.03552
0000000045,3,1764487962436761000,0.022784,0.022528,0.211456,180.31104,280.09984,301.601024,407.661312,429.47456
0000000046,3,1764487962536949200,0.077056,0.06016,0.546816,94.14528,204.63104,225.128192,352.68352,374.272256
0000000047,3,1764487962637063000,0.021504,0.020992,0.315392,51.699712,299.682048,320.210176,409.019904,431.151872
0000000048,3,1764487962737158400,0.02176,0.021248,0.679168,72.620544,275.06176,296.235264,349.388544,371.888896
0000000049,3,1764487962837271800,0.022272,0.022016,0.353536,123.666944,281.764096,303.174656,440.678912,462.62528
0000000050,3,1764487962937336600,0.022016,0.021504,0.245248,49.69088,227.05792,247.549696,377.929472,400.259328
0000000051,3,1764487963037439200,0.022016,0.021504,0.365312,56.292096,241.391872,261.965312,332.87808,355.66208
0000000052,3,1764487963137629000,0.03584,0.035072,0.321792,53.235712,252.866304,273.481216,358.9056,380.976128
0000000053,3,1764487963237765400,0.062976,0.061696,0.886528,91.74144,213.101568,234.075648,359.097856,381.095168
0000000054,3,1764487963337670000,0.018688,0.018432,0.177408,80.291328,277.937152,298.403072,348.49664,371.290624
0000000055,3,1764487963438015200,0.022784,0.022528,0.770304,101.317376,279.387648,300.612352,354.56896,376.446976
0000000056,3,1764487963538058200,0.044288,0.043776,0.321792,94.928128,208.569088,229.189888,325.968128,348.110592
0000000057,3,1764487963638189800,0.01408,0.013824,0.84096,54.14528,192.448512,212.91904,305.117184,326.698496
0000000058,3,1764487963738247700,0.026624,0.026368,0.687616,61.9776,227.311104,248.68864,318.41536,340.39552
0000000059,3,1764487963838423800,0.015104,0.014848,0.279808,65.819648,179.848448,201.123584,295.189248,322.418944
0000000060,3,1764487963938513700,0.025344,0.024832,0.237824,47.479296,143.554048,164.086784,241.543936,263.565824
0000000061,3,1764487964038539800,0.029696,0.028928,0.809472,57.946624,170.076416,191.122688,430.269696,452.253952
0000000062,3,1764487964138886000,0.027136,0.026624,0.2496,84.964864,378.258432,399.132928,451.065344,473.773568
0000000063,3,1764487964239543600,0.033024,0.032256,0.364032,238.30144,385.127168,405.640704,493.556736,515.808768
0000000064,3,1764487964339595300,0.034816,0.03456,0.290304,151.602944,309.792256,330.27584,423.979776,446.243584
0000000065,3,1764487964439805200,0.014848,0.014592,0.36096,92.66432,234.19648,254.841088,375.836672,397.71776
0000000066,3,1764487964540527400,0.023552,0.023296,0.369408,56.700672,242.069504,262.742272,333.121536,356.076544
0000000067,3,1764487964640560000,0.02048,0.019968,0.36352,59.030016,254.763008,275.797504,343.021312,365.088
0000000068,3,1764487964741132300,0.030976,0.030464,0.312832,94.106368,207.98976,228.651776,291.302144,313.209344
0000000069,3,1764487964841157000,0.032256,0.032,0.268032,76.447232,208.557312,229.050368,295.905024,317.646848
0000000070,3,1764487964941277000,0.023296,0.022784,0.2368,55.073536,163.627264,184.38912,227.195904,248.984832
0000000071,3,1764487965041481700,0.02944,0.028928,0.34048,36.324864,144.366592,165.025792,406.404096,428.173568
0000000072,3,1764487965142331100,0.022784,0.022272,0.208384,66.144256,371.975168,392.379904,475.074816,496.88576
0000000073,3,1764487965242541300,0.025344,0.024832,0.28032,219.295744,317.801472,338.310656,437.889536,459.907584
0000000074,3,1764487965342924800,0.035072,0.03456,0.45184,133.563904,242.034688,262.58816,365.271552,387.74912
0000000075,3,1764487965442947800,0.026624,0.026368,0.248064,47.812352,192.164352,212.992,320.189952,343.016448
0000000076,3,1764487965542928600,0.066816,0.0384,0.364288,105.35552,251.817728,272.354048,338.248704,360.83712
0000000077,3,1764487965643752200,0.02176,0.021504,0.284928,77.020416,196.941312,218.231296,305.174272,326.805504
0000000078,3,1764487965744800000,0.02432,0.023808,0.23552,63.990016,168.367616,188.944896,245.970176,267.762432
0000000079,3,1764487965844988000,0.022016,0.021504,0.19712,43.577856,178.824448,199.306496,463.72224,486.280704
