gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764485158393085400,0.064512,0.064768,0.653056,17.545472,39.840768,62.273792,259.302144,292.824576
0000000044,3,1764485158893283000,0.089344,0.094208,0.479744,6.675456,19.413248,40.233984,234.452992,256.704
0000000045,3,1764485159393678300,0.021504,0.02176,0.359424,3.970048,17.42976,38.032128,227.981824,249.252864
0000000046,3,1764485159893897500,0.029952,0.030464,0.543488,5.888512,24.96384,47.81824,237.587712,259.657472
0000000047,3,1764485160396262000,0.058624,0.059392,1.137664,5.359104,18.713344,44.891392,231.734784,252.775424
0000000048,3,1764485160896337200,0.020992,0.021248,0.23424,5.039104,22.072064,43.731456,234.041088,256.164352
0000000049,3,1764485161397994500,0.046848,0.047872,0.592128,4.895232,17.56032,39.275264,229.406208,251.01312
0000000050,3,1764485161898794500,0.017664,0.01792,0.227328,3.975936,17.253376,38.448896,228.66048,250.516992
0000000051,3,1764485162399179500,0.047872,0.048384,0.430848,4.032768,17.83424,38.687488,227.439104,248.840704
0000000052,3,1764485162899533600,0.022016,0.022272,0.862464,5.016064,17.951744,38.5024,232.065024,255.00544
0000000053,3,1764485163408457000,0.035072,0.035328,0.5056,4.598784,18.18368,39.17056,228.82304,253.198336
0000000054,3,1764485163908327700,0.023296,0.023552,0.46464,5.595904,20.654848,41.217024,234.045696,255.967488
0000000055,3,1764485164408540000,0.025344,0.0256,0.716288,4.632064,18.320128,39.672576,229.624832,254.457856
0000000056,3,1764485164909095000,0.027392,0.027648,1.037824,5.14432,19.368704,40.444416,232.08448,254.014976
0000000057,3,1764485165421964800,0.073984,0.074752,0.822784,5.627648,18.627328,39.758336,230.290688,252.343552
0000000058,3,1764485165929751800,0.082688,0.083456,0.730112,6.057472,22.196992,44.15104,233.252608,254.743808
0000000059,3,1764485166431462000,0.052736,0.053248,0.433152,5.763072,19.928576,40.89472,234.163712,255.33824
0000000060,3,1764485166934110000,0.044288,0.0448,0.657664,5.2992,17.817344,38.601728,230.373376,251.698688
0000000061,3,1764485167435408000,0.037632,0.038144,0.509184,5.776896,17.580544,39.420416,230.306816,252.082176
0000000062,3,1764485167935921400,0.02432,0.024576,0.242432,5.843712,17.590272,38.255616,232.484096,254.18368
0000000063,3,1764485168437842700,0.038144,0.039168,0.562176,5.782528,17.830656,39.884032,227.555328,248.704
0000000064,3,1764485168938104000,0.030976,0.031232,0.42112,5.25184,16.833024,38.05696,236.092928,258.015488
0000000065,3,1764485169439185400,0.055296,0.055808,0.657664,5.042432,18.10176,38.96832,231.01952,252.907776
0000000066,3,1764485169939448600,0.024576,0.024832,0.807936,5.725184,18.70208,40.33664,231.995648,253.596672
0000000067,3,1764485170441756200,0.0256,0.025856,0.302848,4.700928,17.51296,38.90048,227.866368,249.948672
0000000068,3,1764485170942350000,0.112384,0.114176,0.430592,4.761856,17.752576,38.96192,252.297216,273.216768
0000000069,3,1764485171442847200,0.055296,0.055808,0.411136,4.494592,17.285376,39.940864,229.568256,251.3664
0000000070,3,1764485171947650800,0.02176,0.022016,0.265728,5.03936,18.897152,40.142336,231.77216,254.033408
0000000071,3,1764485172448610800,0.157184,0.15744,0.777216,4.862208,16.888832,38.163456,230.906368,253.035776
0000000072,3,1764485172948936200,0.02176,0.022016,0.30336,4.923648,17.492736,38.159616,229.518336,251.165184
0000000073,3,1764485173449381600,0.07296,0.073984,0.879616,5.228032,17.75872,39.499008,230.701568,252.333056
0000000074,3,1764485173950663000,0.035584,0.036096,0.363776,5.69216,17.139456,38.653696,228.481792,250.894592
0000000075,3,1764485174450920200,0.022784,0.02304,0.333312,7.56608,20.614144,41.505024,238.981888,260.56448
0000000076,3,1764485174955327700,0.065536,0.066048,0.941056,4.781824,17.965056,39.178496,230.284288,251.665408
0000000077,3,1764485175455100700,0.035072,0.035584,1.03936,6.683136,27.06688,47.965184,242.584576,264.377088
0000000078,3,1764485175973187000,0.09344,0.094976,0.55936,5.034752,19.37664,40.558848,229.22624,250.890496
