gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000143,4,1764432945104094200,0.045312,0.523264,0.04608,8.55424,30.937088,51.926784,255.380992,277.296384
0000000043,3,1764432945109530600,0.041984,0.555008,0.042496,5.685504,26.02624,46.870784,247.202816,269.533696
0000000243,5,1764432945115816400,0.042496,0.64,0.043008,5.31584,21.926656,42.807552,243.320064,264.287744
0000000144,4,1764432945504346600,0.039936,0.377856,0.040704,63.339008,78.437888,99.045888,290.139648,311.247872
0000000044,3,1764432945509656600,0.013312,0.252672,0.013824,55.400192,71.269888,91.905536,286.054144,307.441408
0000000244,5,1764432945515994400,0.030208,1.28512,0.03072,48.860416,65.744384,86.335232,280.7296,301.842944
0000000145,4,1764432945904511200,0.020992,0.28416,0.021504,95.758848,112.284928,132.860672,326.576896,348.018176
0000000045,3,1764432945909737700,0.011776,0.28416,0.012032,95.109632,109.090048,129.85344,321.656832,342.75584
0000000245,5,1764432945916133400,0.02432,0.310528,0.024832,89.904384,105.106944,125.663232,317.522688,338.638848
0000000146,4,1764432946304667000,0.022272,0.292864,0.022528,132.068608,154.390784,175.096832,364.47872,385.738752
0000000046,3,1764432946309903000,0.020736,0.229888,0.021248,126.62272,148.609536,169.297408,362.51136,383.557376
0000000246,5,1764432946316245800,0.022016,0.229888,0.022272,129.27744,144.23808,164.762112,357.236736,378.338304
0000000147,4,1764432946704789200,0.031744,0.325376,0.032512,170.854656,186.753792,207.712256,396.301056,417.328896
0000000047,3,1764432946710094300,0.029696,0.27008,0.030208,170.34368,185.408,205.918208,393.91104,414.96704
0000000247,5,1764432946716366000,0.04224,0.278016,0.044288,167.061504,181.535744,202.39232,391.00288,412.09344
0000000148,4,1764432947105317400,0.021504,0.251904,0.02176,202.703872,220.953088,241.536256,434.043904,455.603456
0000000048,3,1764432947110998800,0.024832,0.292096,0.025344,201.166592,217.465088,238.079488,433.914112,454.424064
0000000248,5,1764432947117531600,0.026624,0.252416,0.027136,196.373248,211.446528,231.999232,424.546304,445.825024
0000000149,4,1764432947505594400,0.041728,0.434432,0.04224,29.924608,45.110016,66.46272,257.271552,278.605056
0000000049,3,1764432947511321000,0.046848,0.326656,0.047616,28.680704,246.564608,267.2384,459.467776,493.602816
0000000249,5,1764432947517622800,0.021504,0.216576,0.02176,22.010624,242.49216,263.028736,457.978112,480.370176
0000000150,4,1764432947905736700,0.062464,0.432128,0.063232,62.69568,78.53568,99.195904,289.98144,311.049472
0000000050,3,1764432947911550500,0.029952,0.374016,0.03072,54.640128,272.648448,293.190912,486.532864,507.724032
