gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000443,7,1764430852848626200,0.037888,0.421888,0.0384,9.809152,26.749952,47.95648,243.584,265.22752
0000000444,7,1764430852948881200,0.045312,0.401664,0.046848,132.988672,147.565824,168.22528,360.347904,381.675776
0000000445,7,1764430853049036300,0.034304,0.288256,0.034816,32.975616,49.727744,71.334912,262.910208,284.129024
0000000446,7,1764430853149142300,0.027648,0.308736,0.02816,157.09184,170.019072,190.433024,389.44128,411.105024
0000000447,7,1764430853249383700,0.036864,0.332544,0.037632,57.56544,75.82464,96.564224,291.541248,312.613888
0000000143,4,1764430853251333000,0.037632,0.425216,0.0384,4.75008,17.594368,38.525952,231.208704,253.042688
0000000243,5,1764430853346136300,0.040192,0.415744,0.04096,4.37888,20.787456,41.669888,234.255104,255.137536
0000000448,7,1764430853349527300,0.033024,0.35712,0.033536,185.014016,411.510528,432.64256,647.808256,669.325568
0000000543,8,1764430853350769000,0.039936,0.487168,0.040448,4.812544,18.9184,39.777792,232.334592,253.44256
0000000144,4,1764430853351510800,0.070912,0.410624,0.083712,126.074368,354.135808,375.186944,597.614336,618.537216
0000000244,5,1764430853446296800,0.037888,0.425728,0.0384,135.91296,355.734528,376.1984,603.073792,625.366016
0000000043,3,1764430853449605400,0.072192,0.708608,0.072704,5.255424,19.29472,40.123392,232.649728,254.306304
0000000449,7,1764430853449788000,0.047104,0.357632,0.048128,85.03552,314.060544,334.815232,551.559168,573.477632
0000000544,8,1764430853450849500,0.045056,0.318208,0.054272,128.763648,149.465344,169.971968,367.782656,388.196096
0000000145,4,1764430853451619600,0.032256,1.408768,0.032768,26.564864,253.910272,275.524352,503.352576,525.043456
0000000343,6,1764430853454653200,0.039424,0.918784,0.040192,5.246464,18.74176,40.629248,236.7808,259.271168
0000000643,9,1764430853497804800,0.049152,0.680448,0.050176,4.765184,17.899264,38.955008,231.499008,252.990976
0000000245,5,1764430853546413000,0.05888,0.475904,0.059904,29.305344,248.028928,268.658432,501.18784,518.600192
0000000044,3,1764430853549736000,0.037376,0.365312,0.048128,129.148672,159.492608,180.4672,387.490304,409.677568
0000000450,7,1764430853550018800,0.02304,0.4416,0.023552,202.611456,222.521344,243.043072,459.478784,480.696576
0000000545,8,1764430853550973200,0.02944,0.204032,0.030208,27.248896,42.168832,62.835712,267.817984,288.141056
0000000146,4,1764430853551939300,0.019968,0.914432,0.020224,139.07968,173.212928,194.02112,411.715584,432.319488
0000000344,6,1764430853554760700,0.04736,0.47232,0.048128,132.92672,158.041344,178.763264,386.966528,407.336448
0000000644,9,1764430853597864400,0.045824,0.356864,0.046592,125.209088,141.297408,162.139904,376.108032,397.064448
0000000246,5,1764430853646673000,0.02944,0.366848,0.045056,143.43424,157.649408,178.508032,401.489664,422.439168
