gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000443,7,1764485054236094700,0.068608,0.069376,0.652032,32.467968,187.843072,208.679936,456.272896,5478.7264
0000000043,3,1764485054239860700,0.058368,0.059904,0.655616,28.6784,141.68064,162.59712,408.705024,5432.633344
0000000143,4,1764485054304693500,0.0832,0.084736,0.624128,30.053632,93.185024,114.061312,358.09792,5380.648448
0000000343,6,1764485054305791700,0.060928,0.061952,0.935168,28.944384,93.542656,114.426112,366.314496,5388.979456
0000000243,5,1764485054319744800,0.31616,0.318208,0.831232,29.584128,90.686208,111.889152,357.690112,5380.506112
0000000444,7,1764485054736145700,0.808192,0.845312,1.490688,203.918336,265.568768,286.333696,549.71136,572.530432
0000000044,3,1764485054739924000,0.032256,0.033024,0.486144,139.332864,222.916864,244.1664,484.358912,507.202304
0000000144,4,1764485054804815000,0.067584,0.068352,1.682944,86.152192,174.370816,195.200512,431.52768,454.06208
0000000344,6,1764485054805937400,0.055296,0.092416,0.422912,135.012352,195.676928,216.780032,480.280832,502.799104
0000000244,5,1764485054819638500,0.034048,0.03456,1.344256,117.44768,181.380608,202.841088,468.46336,491.054336
0000000445,7,1764485055236257300,0.03456,0.035328,0.577536,74.39616,349.122816,369.826304,609.110272,631.655168
0000000045,3,1764485055240054500,0.035328,0.036096,0.352,213.435904,275.633152,297.119232,525.567488,548.260608
0000000145,4,1764485055304921300,0.04224,0.043008,0.442112,161.1392,227.13344,248.169216,480.419328,503.22688
0000000345,6,1764485055306006000,0.03456,0.035328,0.353536,221.778432,296.763136,317.63456,556.521216,578.873344
0000000245,5,1764485055319804200,0.045568,0.046336,0.40576,208.360448,283.546112,304.407808,545.19424,568.008704
0000000446,7,1764485055736430600,0.055552,0.056064,0.5056,125.1776,194.865408,215.760128,464.54784,487.144192
0000000046,3,1764485055740219100,0.154368,0.160768,0.741376,44.191488,297.959936,319.255552,550.874368,573.350656
0000000146,4,1764485055805083100,0.053248,0.054016,0.420608,202.004224,247.597568,268.214272,502.497024,526.301696
0000000346,6,1764485055806200300,0.032512,0.032768,0.411136,82.166016,330.370304,351.060736,588.534272,611.11936
0000000246,5,1764485055819913000,0.02176,0.022016,0.456192,67.819008,317.778688,339.697152,572.882176,596.140288
0000000447,7,1764485056236482300,0.027904,0.02816,0.460544,190.183424,267.782912,288.436224,513.185536,535.405056
0000000047,3,1764485056240247800,0.034816,0.035328,0.343296,70.941184,326.75712,347.666688,581.087232,602.898432
0000000147,4,1764485056305147100,0.0192,0.019456,0.311296,24.232704,284.158208,304.907264,535.82336,559.15776
0000000347,6,1764485056306310100,0.014336,0.014592,0.324352,94.720768,187.211776,207.774208,442.961408,464.978432
0000000247,5,1764485056320030200,0.037376,0.0384,0.45824,81.376256,169.82016,190.51008,420.923392,443.027968
0000000448,7,1764485056736572400,0.026368,0.026624,0.498944,33.165056,289.108736,309.749248,536.147712,559.140352
0000000048,3,1764485056740421000,0.055552,0.055808,0.33536,89.83808,146.58048,167.73632,399.741952,422.481408
0000000148,4,1764485056805338400,0.044544,0.045312,0.482048,55.541248,310.28352,331.200256,563.503104,586.049536
0000000348,6,1764485056806503700,0.020736,0.021504,0.461824,161.87776,217.958656,238.735104,473.399552,495.816704
0000000248,5,1764485056820392700,0.050176,0.050944,0.3072,147.968256,204.336384,225.18016,452.5184,474.43968
0000000449,7,1764485057236772000,0.031488,0.032,0.376064,58.929408,338.924288,359.580672,593.312,616.6272
