gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000102,3,1764407326127236000,0.059136,0.058368,0.532992,94.566656,163.302144,184.143104
0000000103,3,1764407326627330800,0.04736,0.047104,0.3904,95.302144,156.356864,177.04064
0000000104,3,1764407327127405800,0.024064,0.023808,0.932352,101.732096,176.29696,197.30048
0000000105,3,1764407327628209700,0.025856,0.0256,0.26752,112.832256,177.474048,198.199296
0000000106,3,1764407328129047800,0.121088,0.067072,0.573696,114.704896,201.436416,222.030336
0000000107,3,1764407328629142800,0.104448,0.078848,0.457984,139.373312,208.570112,229.625088
0000000108,3,1764407329129823700,0.025088,0.024832,0.331776,142.200064,212.55808,233.665792
0000000109,3,1764407329630204700,0.039168,0.038656,0.564992,146.820864,212.481536,233.266176
0000000110,3,1764407330130553000,0.136448,0.1344,0.46208,147.811584,212.155136,233.30432
0000000111,3,1764407330631155000,0.016384,0.016128,0.29568,150.094336,230.162944,250.7712
0000000112,3,1764407331131394300,0.02688,0.026624,0.283136,169.064704,245.699072,267.6224
0000000113,3,1764407331631807700,0.020736,0.02048,0.249344,178.53696,237.353728,258.09152
0000000114,3,1764407332132118500,0.026624,0.026368,0.293376,166.773248,261.17632,282.984448
0000000115,3,1764407332632620500,0.040448,0.039936,0.405248,192.119552,251.71584,274.029056
0000000116,3,1764407333132834600,0.034816,0.03456,0.518144,189.989376,275.704832,297.061632
0000000117,3,1764407333633585000,0.039168,0.038912,0.936448,207.551744,271.840768,292.779008
0000000118,3,1764407334134050600,0.020992,0.020992,1.132288,202.04544,261.617152,282.293504
0000000119,3,1764407334635512300,0.032512,0.032,0.39552,192.916992,261.508096,283.11168
0000000120,3,1764407335135745800,0.039936,0.03968,0.380672,194.011904,262.380032,283.588096
0000000121,3,1764407335636656000,0.03072,0.030464,0.544512,203.050752,279.721728,301.874432
0000000122,3,1764407336136752000,0.046848,0.046592,0.55296,211.275776,282.893568,303.972096
0000000123,3,1764407336636895000,0.026624,0.026368,0.287488,219.11552,288.514048,310.449408
0000000124,3,1764407337137162800,0.023552,0.023296,0.32,225.0048,293.881856,315.047168
0000000125,3,1764407337637464600,0.029952,0.029952,0.487936,258.088192,366.375168,387.331072
0000000126,3,1764407338137510700,0.0896,0.089088,0.542208,221.331456,285.887744,306.736384
0000000127,3,1764407338637757700,0.073728,0.073216,0.428032,243.988736,374.120192,395.934976
0000000128,3,1764407339138576600,0.032512,0.031744,0.73216,235.460352,318.601216,340.547328
0000000129,3,1764407339638916900,0.0256,0.025088,0.364032,202.806272,290.175488,311.181824
0000000130,3,1764407340139682300,0.09984,0.098304,0.412416,223.502336,310.112,331.72224
0000000131,3,1764407340640134000,0.09856,0.09728,0.503808,170.563328,255.735808,276.86016
0000000132,3,1764407341140308200,0.08704,0.086528,0.395776,202.9056,283.625472,304.428544
0000000133,3,1764407341640558600,0.02816,0.027648,0.276736,216.821248,283.000832,304.614656
0000000134,3,1764407342140744400,0.03456,0.034048,0.33152,216.737024,278.72256,299.375104
0000000135,3,1764407342640867800,0.024064,0.023808,0.301056,213.270784,277.812224,298.69696
0000000136,3,1764407343141448700,0.020224,0.019968,0.923136,218.564352,286.219008,307.173888
0000000137,3,1764407343641622000,0.025088,0.024576,0.25216,219.331584,278.784768,299.52
0000000138,3,1764407344141782800,0.02944,0.029184,0.311296,213.0304,272.496896,293.56672
0000000139,3,1764407344641837800,0.027648,0.027392,0.239616,201.364736,261.759744,282.258944
0000000140,3,1764407345142011400,0.029952,0.02944,0.910336,197.061632,267.41248,287.9232
0000000141,3,1764407345642114000,0.11904,0.108544,0.63744,201.335296,281.476864,302.577408
0000000142,3,1764407346142223400,0.02432,0.024064,0.691712,224.182528,294.436608,314.995968
