gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000043,3,1764486397825534500,0.046848,0.046592,0.707584,10.41664,28.45824,49.693952,252.1792,275.956992
0000000044,3,1764486398227596300,0.015104,0.014848,0.608256,61.599488,74.472448,96.384512,287.55328,309.06752
0000000045,3,1764486398627695600,0.098816,0.09728,0.683008,92.775424,107.727872,129.868544,319.880704,340.8896
0000000046,3,1764486399028067300,0.036352,0.03584,0.518912,130.838528,143.505408,165.5808,357.9712,379.827456
0000000047,3,1764486399429495800,0.048896,0.048384,0.261888,164.9536,177.878016,200.416768,388.303104,409.128448
0000000048,3,1764486399830421000,0.024832,0.024576,0.331264,199.249152,214.865152,235.847424,433.129984,454.112256
0000000049,3,1764486400233388800,0.061952,0.061184,1.089792,25.88928,241.8496,264.200448,454.494464,475.643392
0000000050,3,1764486400633784600,0.027904,0.027648,0.30208,49.784576,269.74464,292.285184,483.365888,508.17536
0000000051,3,1764486401035037700,0.034816,0.03456,0.409344,77.138688,295.058176,315.5712,511.652352,532.7744
0000000052,3,1764486401435483400,0.045568,0.0448,0.29824,105.786112,323.573248,344.32384,535.008256,555.963392
0000000053,3,1764486401837325300,0.028928,0.028672,1.612544,129.18912,343.814144,364.906496,559.261184,580.617216
0000000054,3,1764486402238414600,0.06016,0.059904,0.763904,153.370368,365.792256,387.20128,577.155072,599.209728
0000000055,3,1764486402639306000,0.037632,0.03712,0.608768,172.145408,386.711808,407.227904,603.875072,625.578752
0000000056,3,1764486403039307500,0.025344,0.025088,0.370944,194.992384,216.499968,238.060288,429.665024,451.117568
0000000057,3,1764486403440654000,0.028416,0.02816,0.611072,24.064768,243.090432,265.050112,460.735232,482.534144
0000000058,3,1764486403841117000,0.034048,0.033792,0.3712,55.626496,71.593472,93.36192,284.844544,306.108672
0000000059,3,1764486404241907500,0.050944,0.050176,0.781824,94.54976,108.79104,130.637568,320.762368,342.185216
0000000060,3,1764486404642336500,0.025856,0.0256,0.264448,126.885632,140.528896,162.171136,355.223808,376.518656
0000000061,3,1764486405045332000,0.05632,0.055552,0.582656,161.034752,173.803008,195.249664,385.283072,406.472448
0000000062,3,1764486405447212500,0.0448,0.044544,0.470016,195.264256,210.732544,233.357824,425.309696,446.777856
0000000063,3,1764486405849307100,0.041472,0.040704,0.380672,17.584384,34.057728,60.362752,248.50432,269.78688
0000000064,3,1764486406249647600,0.037376,0.03712,0.424192,61.20576,75.460864,95.98848,288.576512,310.491136
0000000065,3,1764486406651419100,0.082688,0.082176,0.551168,94.272768,107.340032,128.842752,318.740736,340.379904
0000000066,3,1764486407051488000,0.034816,0.034304,0.30592,126.63424,139.636224,160.92032,354.05824,375.306752
0000000067,3,1764486407451942400,0.031744,0.031488,1.202944,161.224704,174.109184,195.1808,387.314944,409.407232
0000000068,3,1764486407851966700,0.03968,0.0384,0.489216,193.723136,208.861952,229.570816,425.48736,447.176192
0000000069,3,1764486408252146200,0.028928,0.028672,0.23168,20.061952,237.55008,259.111424,452.288512,473.98016
0000000070,3,1764486408653391400,0.039168,0.038656,0.974848,46.39104,60.4096,81.258496,277.272576,298.30784
0000000071,3,1764486409054094300,0.030208,0.029952,0.382208,87.430144,99.985408,121.686528,311.737088,333.396992
0000000072,3,1764486409454234600,0.040448,0.040192,0.578816,120.704512,132.703744,154.801408,344.393216,367.001856
0000000073,3,1764486409859241200,0.098304,0.097536,1.906944,147.496704,159.312128,180.102656,374.135296,397.000704
0000000074,3,1764486410258998800,0.019968,0.019712,0.265728,182.205184,196.17664,217.352704,409.510656,432.547584
0000000075,3,1764486410659166200,0.0192,0.018944,1.999872,6.430976,21.257472,42.4896,234.299904,255.853056
0000000076,3,1764486411061144800,0.035328,0.034816,0.46464,46.83904,61.294848,82.45376,273.941504,295.3984
0000000077,3,1764486411461259500,0.0576,0.057088,0.378112,80.95744,101.785344,122.620416,314.513152,336.687616
0000000078,3,1764486411861721300,0.07552,0.07296,0.4352,126.46016,138.94912,159.796992,360.500992,382.073856
0000000079,3,1764486412261804500,0.02304,0.022784,0.365056,167.023104,180.439296,202.432512,394.014976,415.761152
0000000080,3,1764486412661962000,0.036352,0.035584,0.438784,201.21984,214.833152,236.385024,433.398016,454.622464
0000000081,3,1764486413065344500,0.0256,0.025344,0.583424,25.468928,241.080832,264.505088,455.678208,477.595392
0000000082,3,1764486413466375200,0.099328,0.09728,0.62208,49.307136,267.369984,288.265984,497.768192,519.501568
0000000083,3,1764486413866739200,0.055808,0.055552,0.319488,90.785536,307.737088,328.938496,529.253888,550.806528
0000000084,3,1764486414273609200,0.058624,0.058112,0.498944,117.640192,333.07904,355.75936,549.231104,570.417664
0000000085,3,1764486414673745700,0.10752,0.107264,0.321792,142.822912,359.5264,383.034112,584.32,605.943552
0000000086,3,1764486415074964000,0.082176,0.081152,0.843008,178.660096,395.299584,416.239104,611.2,633.045504
0000000087,3,1764486415474924500,0.028928,0.028672,0.2432,203.450112,425.108224,446.447104,643.387648,664.784384
0000000088,3,1764486415881006000,0.031488,0.031232,0.655872,12.973568,237.536,258.203648,452.198144,473.612544
